test_id,test,ablation,model,county_id,weighted_mae,baseline_mae,delta_mae
A,2014_2018,A_previous_shares,elastic_net,01,0.021985850578860655,0.017502617474708018,0.0044832331041526376
A,2014_2018,A_previous_shares,elastic_net,03,0.024320769804191747,0.01687479314052495,0.007445976663666799
A,2014_2018,A_previous_shares,elastic_net,04,0.019929174924613997,0.012571055742271652,0.007358119182342346
A,2014_2018,A_previous_shares,elastic_net,05,0.01990605125242297,0.013504032243188746,0.006402019009234223
A,2014_2018,A_previous_shares,elastic_net,06,0.021548952707251854,0.013854566408752596,0.0076943862984992575
A,2014_2018,A_previous_shares,elastic_net,07,0.023412683359550334,0.015151195317151984,0.00826148804239835
A,2014_2018,A_previous_shares,elastic_net,08,0.021519366177921405,0.013726688490448752,0.007792677687472653
A,2014_2018,A_previous_shares,elastic_net,09,0.018410130966257134,0.015163759271126665,0.0032463716951304684
A,2014_2018,A_previous_shares,elastic_net,10,0.0267557357973942,0.012334346917730513,0.014421388879663686
A,2014_2018,A_previous_shares,elastic_net,12,0.027774323391810216,0.014275196006338775,0.013499127385471441
A,2014_2018,A_previous_shares,elastic_net,13,0.02073852311061434,0.013484349925191883,0.007254173185422456
A,2014_2018,A_previous_shares,elastic_net,14,0.02177173357881419,0.013355199971251216,0.008416533607562973
A,2014_2018,A_previous_shares,elastic_net,17,0.020577161738066053,0.013828467340715514,0.006748694397350539
A,2014_2018,A_previous_shares,elastic_net,18,0.02102570212958025,0.01376644349177724,0.007259258637803009
A,2014_2018,A_previous_shares,elastic_net,19,0.022482609080074364,0.01309646276871199,0.009386146311362375
A,2014_2018,A_previous_shares,elastic_net,20,0.022886575167526877,0.014335025502625222,0.008551549664901655
A,2014_2018,A_previous_shares,elastic_net,21,0.019521431148929357,0.0128227044944627,0.0066987266544666565
A,2014_2018,A_previous_shares,elastic_net,22,0.018393453466333285,0.014329307564465033,0.004064145901868252
A,2014_2018,A_previous_shares,elastic_net,23,0.018529313143552162,0.013303269147549226,0.005226043996002936
A,2014_2018,A_previous_shares,elastic_net,24,0.017410365897043208,0.015656378098337243,0.0017539877987059645
A,2014_2018,A_previous_shares,elastic_net,25,0.01889134121900538,0.014077037201450798,0.004814304017554581
A,2014_2018,A_previous_shares,lightgbm,01,0.020588600263238895,0.017502617474708018,0.003085982788530877
A,2014_2018,A_previous_shares,lightgbm,03,0.021689612417137762,0.01687479314052495,0.004814819276612814
A,2014_2018,A_previous_shares,lightgbm,04,0.018206272088419823,0.012571055742271652,0.005635216346148171
A,2014_2018,A_previous_shares,lightgbm,05,0.017386364350565477,0.013504032243188746,0.0038823321073767313
A,2014_2018,A_previous_shares,lightgbm,06,0.019550358328236192,0.013854566408752596,0.0056957919194835956
A,2014_2018,A_previous_shares,lightgbm,07,0.01928523509049514,0.015151195317151984,0.004134039773343156
A,2014_2018,A_previous_shares,lightgbm,08,0.019155031921681585,0.013726688490448752,0.005428343431232833
A,2014_2018,A_previous_shares,lightgbm,09,0.018038175132232475,0.015163759271126665,0.00287441586110581
A,2014_2018,A_previous_shares,lightgbm,10,0.021762957502204885,0.012334346917730513,0.009428610584474372
A,2014_2018,A_previous_shares,lightgbm,12,0.022024237735641848,0.014275196006338775,0.007749041729303073
A,2014_2018,A_previous_shares,lightgbm,13,0.019552029815981215,0.013484349925191883,0.006067679890789332
A,2014_2018,A_previous_shares,lightgbm,14,0.01917943180239869,0.013355199971251216,0.005824231831147473
A,2014_2018,A_previous_shares,lightgbm,17,0.01964979803240957,0.013828467340715514,0.0058213306916940575
A,2014_2018,A_previous_shares,lightgbm,18,0.01869670804343509,0.01376644349177724,0.0049302645516578515
A,2014_2018,A_previous_shares,lightgbm,19,0.020822274364308384,0.01309646276871199,0.007725811595596394
A,2014_2018,A_previous_shares,lightgbm,20,0.019512597223632775,0.014335025502625222,0.005177571721007553
