test_id,bootstrap_unit,observed_delta_mae,ci_low,ci_high,replicates
A,district,0.005099805836746337,0.004938012376243981,0.005257059891939656,2000
A,municipality,0.005099805836746337,0.004232992594606524,0.005916333486194639,2000
B,district,0.0007898723727728414,0.0006813943662601809,0.0009006908705780976,2000
B,municipality,0.0007898723727728414,0.0005476842770642668,0.0010465699592444215,2000
B0,district,0.0019799593320944256,0.0018577309689216828,0.0021023913617244263,2000
B0,municipality,0.0019799593320944256,0.001443709804813083,0.0024683521703364403,2000
