test_id,scope,model_mae,baseline_mae,delta_mae,parties_improved,parties_total,other_delta_mae
A,all_parties,0.019753580638520663,0.014653774801774324,0.0050998058367463395,3,9,0.008459193227109337
A,excluding_other,0.020385042673741704,0.015705160260790742,0.004679882412950961,3,8,0.008459193227109337
B,all_parties,0.015481559485608377,0.014691687112835538,0.0007898723727728391,5,9,0.010070485702884702
B,excluding_other,0.015236389382033734,0.015606593675524876,-0.0003702042934911418,5,8,0.010070485702884702
B0,all_parties,0.016671646444929963,0.014691687112835538,0.0019799593320944248,3,9,0.008917006302168
B0,excluding_other,0.0167194221363601,0.015606593675524876,0.0011128284608352256,3,8,0.008917006302168
