party,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
V,-0.05690905336948041,-0.0013956191980199993,0.1696031919421187,-0.681436240079352,0.5986363723184587,-0.17376199448500285,-0.04813115266438045,-0.04064927949275303,0.3333333333333341
S,-0.6714542414752942,-0.0836850747901516,-0.6033738520353454,0.12557003211169512,0.001765780726675147,-0.19358506645904053,-0.11070149834266355,0.03839196261917932,0.33333333333333326
MP,-0.04566824159635511,-0.06606672222012475,-0.03680581686979263,-0.00258786877676292,0.008924961774270074,0.40845913854247806,0.8414207135639109,0.07854796991190498,0.333333333333332
C,-0.35517458130500973,0.5405807779307398,0.6047655731254191,0.2326175392352356,-0.16338469941253478,-0.1425351618780845,-0.01622105960918829,0.05818981929292255,0.33333333333333287
L,0.06980945114677722,0.022686328738290556,-0.02903022761599115,-0.08064578501276252,-0.07371644636460853,0.713017629204576,-0.5040587978172003,0.32901495022875504,0.33333333333333376
M,0.5603346593247424,0.4073276804167916,-0.3399705630211035,0.34748323513819407,0.304743010427029,-0.23255197459692833,0.011262524941990777,0.1599936530943375,0.33333333333333304
KD,0.2680416355895594,-0.07199768393009472,-0.0821094771365138,-0.4204600084145311,-0.7030224506718206,-0.34057755001314666,0.032560521675048075,0.13052393567144727,0.33333333333333365
SD,0.1033410575362858,-0.7240445394342458,0.34107283455995246,0.39267353899897134,0.11784750194268766,-0.2008489248531444,-0.08477245435536027,0.14842890412806273,0.3333333333333329
OTHER,0.12767931414877462,-0.02340514751318531,-0.024151662948742107,0.08678555679931564,-0.09179403074015725,0.1623839045382942,-0.12135879739215175,-0.9024419154538537,0.3333333333333342
