transition_id,party,weighted_mean,weighted_std
2010_2014,C,0.0005964511436252604,0.014084452341962789
2010_2014,KD,-0.0003239024449268621,0.010668457943227943
2010_2014,L,-0.0027689110024880204,0.011934568897707965
2010_2014,M,-0.006190072519184254,0.021909682876820474
2010_2014,MP,-0.001135323850144235,0.014011451664911625
2010_2014,OTHER,-0.0032985796837206607,0.02197596329435641
2010_2014,S,0.008035169554064286,0.0296722912417818
2010_2014,SD,0.005355334171087071,0.029616980495228904
2010_2014,V,-0.0002701653683125867,0.012424729062083082
2014_2018,C,-0.0014347876391982387,0.026394959464241877
2014_2018,KD,0.001486209198349987,0.018433213555660338
2014_2018,L,-0.0011763121129611729,0.011166770124982987
2014_2018,M,-0.002067291078465673,0.026884874670726398
2014_2018,MP,-0.0008817468810534866,0.01093013104999542
2014_2018,OTHER,0.00030790699997277867,0.009757249641594079
2014_2018,S,0.001501193944193535,0.02956785935477665
2014_2018,SD,0.003793702667949093,0.02455667092853559
2014_2018,V,-0.0015288750987868232,0.017889336690423037
2018_2022,C,-0.0017879497354304072,0.016437898894120808
2018_2022,KD,0.0000385217365667667,0.015288021937981407
2018_2022,L,-0.0006053950691806939,0.01104806620551249
2018_2022,M,-0.0019507573859342373,0.02417776975157333
2018_2022,MP,0.00027393434203302054,0.01274551182413356
2018_2022,OTHER,-0.00002647030612524865,0.014936836508869749
2018_2022,S,0.0019982761244612163,0.04280677879884825
2018_2022,SD,0.002489586357643267,0.023705565071162473
2018_2022,V,-0.000429746064033688,0.020086359165004446
