test_id,counties_won,counties_total,winning_vote_coverage,median_county_delta_mae
A,0,21,0.0,0.0053056074939940336
B,6,21,0.12991847803452458,0.0005377268179101394
B0,4,21,0.0984905763654126,0.0006591275728856441
