test_id,test,ablation,model,party,weighted_mae,baseline_mae,delta_mae
A,2014_2018,A_previous_shares,elastic_net,C,0.021912379668198378,0.01919317301118415,0.002719206657014226
A,2014_2018,A_previous_shares,elastic_net,KD,0.013056573894431156,0.0141860160363325,-0.0011294421419013444
A,2014_2018,A_previous_shares,elastic_net,L,0.011116756120248521,0.008450502460449703,0.0026662536597988184
A,2014_2018,A_previous_shares,elastic_net,M,0.021610097567537134,0.021012576320023957,0.0005975212475131768
A,2014_2018,A_previous_shares,elastic_net,MP,0.009165448476782242,0.007858183203219998,0.0013072652735622442
A,2014_2018,A_previous_shares,elastic_net,OTHER,0.014576916398144079,0.006242691129642963,0.008334225268501116
A,2014_2018,A_previous_shares,elastic_net,S,0.05425022074650839,0.02286194170144131,0.03138827904506708
A,2014_2018,A_previous_shares,elastic_net,SD,0.04195131438186597,0.01953241501787044,0.022418899363995534
A,2014_2018,A_previous_shares,elastic_net,V,0.012447568980039542,0.012546474335803888,-0.00009890535576434663
A,2014_2018,A_previous_shares,lightgbm,C,0.019479125382490952,0.01919317301118415,0.0002859523713068003
A,2014_2018,A_previous_shares,lightgbm,KD,0.013629579110027747,0.0141860160363325,-0.0005564369263047538
A,2014_2018,A_previous_shares,lightgbm,L,0.009307309227537494,0.008450502460449703,0.0008568067670877907
A,2014_2018,A_previous_shares,lightgbm,M,0.020242505789713452,0.021012576320023957,-0.000770070530310505
A,2014_2018,A_previous_shares,lightgbm,MP,0.010027523261657368,0.007858183203219998,0.00216934005843737
A,2014_2018,A_previous_shares,lightgbm,OTHER,0.014852198751177687,0.006242691129642963,0.008609507621534724
A,2014_2018,A_previous_shares,lightgbm,S,0.042475861171078884,0.02286194170144131,0.019613919469637572
A,2014_2018,A_previous_shares,lightgbm,SD,0.0359656702480137,0.01953241501787044,0.01643325523014326
A,2014_2018,A_previous_shares,lightgbm,V,0.012907938119404539,0.012546474335803888,0.00036146378360065075
A,2014_2018,A_previous_shares,ridge,C,0.021965697122636615,0.01919317301118415,0.0027725241114524637
A,2014_2018,A_previous_shares,ridge,KD,0.01298931635740276,0.0141860160363325,-0.0011966996789297413
A,2014_2018,A_previous_shares,ridge,L,0.011257078349974685,0.008450502460449703,0.002806575889524982
A,2014_2018,A_previous_shares,ridge,M,0.021816295884063516,0.021012576320023957,0.0008037195640395595
A,2014_2018,A_previous_shares,ridge,MP,0.009366488743370162,0.007858183203219998,0.001508305540150164
A,2014_2018,A_previous_shares,ridge,OTHER,0.014565208023860365,0.006242691129642963,0.008322516894217402
A,2014_2018,A_previous_shares,ridge,S,0.054691261242664775,0.02286194170144131,0.031829319541223464
A,2014_2018,A_previous_shares,ridge,SD,0.04297199108600167,0.01953241501787044,0.023439576068131233
A,2014_2018,A_previous_shares,ridge,V,0.012480721240266819,0.012546474335803888,-0.00006575309553706957
A,2014_2018,B_plus_structure,elastic_net,C,0.020557993847214774,0.01919317301118415,0.0013648208360306224
A,2014_2018,B_plus_structure,elastic_net,KD,0.013090081950219198,0.0141860160363325,-0.001095934086113302
A,2014_2018,B_plus_structure,elastic_net,L,0.00965856363546615,0.008450502460449703,0.0012080611750164474
A,2014_2018,B_plus_structure,elastic_net,M,0.021307539657311175,0.021012576320023957,0.00029496333728721777
A,2014_2018,B_plus_structure,elastic_net,MP,0.009707964533284822,0.007858183203219998,0.0018497813300648244
A,2014_2018,B_plus_structure,elastic_net,OTHER,0.01448738504471958,0.006242691129642963,0.008244693915076618
A,2014_2018,B_plus_structure,elastic_net,S,0.05467786360403044,0.02286194170144131,0.031815921902589125
A,2014_2018,B_plus_structure,elastic_net,SD,0.044490731025319315,0.01953241501787044,0.024958316007448876
A,2014_2018,B_plus_structure,elastic_net,V,0.012797621713097028,0.012546474335803888,0.0002511473772931396
A,2014_2018,B_plus_structure,lightgbm,C,0.01966847551557836,0.01919317301118415,0.0004753025043942073
A,2014_2018,B_plus_structure,lightgbm,KD,0.013673062361714424,0.0141860160363325,-0.0005129536746180767
A,2014_2018,B_plus_structure,lightgbm,L,0.009365686344501946,0.008450502460449703,0.0009151838840522428
A,2014_2018,B_plus_structure,lightgbm,M,0.02010266607844454,0.021012576320023957,-0.0009099102415794161
A,2014_2018,B_plus_structure,lightgbm,MP,0.010043599878497648,0.007858183203219998,0.0021854166752776506
A,2014_2018,B_plus_structure,lightgbm,OTHER,0.014833920125259636,0.006242691129642963,0.008591228995616674
A,2014_2018,B_plus_structure,lightgbm,S,0.042272155749136966,0.02286194170144131,0.019410214047695655
A,2014_2018,B_plus_structure,lightgbm,SD,0.035519900763684636,0.01953241501787044,0.015987485745814198
A,2014_2018,B_plus_structure,lightgbm,V,0.012833507698710014,0.012546474335803888,0.00028703336290612606
A,2014_2018,B_plus_structure,ridge,C,0.020757363616936853,0.01919317301118415,0.0015641906057527015
A,2014_2018,B_plus_structure,ridge,KD,0.013006127923112534,0.0141860160363325,-0.0011798881132199669
A,2014_2018,B_plus_structure,ridge,L,0.009663198505256314,0.008450502460449703,0.0012126960448066108
A,2014_2018,B_plus_structure,ridge,M,0.02154953041352773,0.021012576320023957,0.0005369540935037734
A,2014_2018,B_plus_structure,ridge,MP,0.010067679461465976,0.007858183203219998,0.0022094962582459785
A,2014_2018,B_plus_structure,ridge,OTHER,0.014492204064339443,0.006242691129642963,0.00824951293469648
A,2014_2018,B_plus_structure,ridge,S,0.05492722699411127,0.02286194170144131,0.03206528529266996
A,2014_2018,B_plus_structure,ridge,SD,0.045959329221364566,0.01953241501787044,0.026426914203494127
A,2014_2018,B_plus_structure,ridge,V,0.013051182659542682,0.012546474335803888,0.000504708323738794
A,2014_2018,C_plus_turnout_size,elastic_net,C,0.02085592416018165,0.01919317301118415,0.0016627511489974989
A,2014_2018,C_plus_turnout_size,elastic_net,KD,0.013111885456383308,0.0141860160363325,-0.0010741305799491924
A,2014_2018,C_plus_turnout_size,elastic_net,L,0.009909702007380379,0.008450502460449703,0.0014591995469306757
A,2014_2018,C_plus_turnout_size,elastic_net,M,0.020869465289069963,0.021012576320023957,-0.00014311103095399416
A,2014_2018,C_plus_turnout_size,elastic_net,MP,0.00910114459096276,0.007858183203219998,0.0012429613877427623
A,2014_2018,C_plus_turnout_size,elastic_net,OTHER,0.014526135884852227,0.006242691129642963,0.008283444755209264
A,2014_2018,C_plus_turnout_size,elastic_net,S,0.054779440499644665,0.02286194170144131,0.03191749879820335
A,2014_2018,C_plus_turnout_size,elastic_net,SD,0.04115385179117768,0.01953241501787044,0.02162143677330724
A,2014_2018,C_plus_turnout_size,elastic_net,V,0.011631871454060803,0.012546474335803888,-0.0009146028817430853
A,2014_2018,C_plus_turnout_size,lightgbm,C,0.019659234979251157,0.01919317301118415,0.0004660619680670053
A,2014_2018,C_plus_turnout_size,lightgbm,KD,0.013577492064425762,0.0141860160363325,-0.0006085239719067388
A,2014_2018,C_plus_turnout_size,lightgbm,L,0.009291336438709427,0.008450502460449703,0.0008408339782597241
A,2014_2018,C_plus_turnout_size,lightgbm,M,0.01990124852948466,0.021012576320023957,-0.001111327790539296
A,2014_2018,C_plus_turnout_size,lightgbm,MP,0.00971114146685772,0.007858183203219998,0.0018529582636377228
A,2014_2018,C_plus_turnout_size,lightgbm,OTHER,0.01463686291623526,0.006242691129642963,0.008394171786592297
A,2014_2018,C_plus_turnout_size,lightgbm,S,0.04232980735635651,0.02286194170144131,0.0194678656549152
A,2014_2018,C_plus_turnout_size,lightgbm,SD,0.03628438062434029,0.01953241501787044,0.016751965606469854
A,2014_2018,C_plus_turnout_size,lightgbm,V,0.012276688265254127,0.012546474335803888,-0.0002697860705497615
A,2014_2018,C_plus_turnout_size,ridge,C,0.020963762838211865,0.01919317301118415,0.0017705898270277132
A,2014_2018,C_plus_turnout_size,ridge,KD,0.012994543707076667,0.0141860160363325,-0.0011914723292558334
A,2014_2018,C_plus_turnout_size,ridge,L,0.009919525644810703,0.008450502460449703,0.0014690231843610003
A,2014_2018,C_plus_turnout_size,ridge,M,0.02106002509781475,0.021012576320023957,0.000047448777790792124
A,2014_2018,C_plus_turnout_size,ridge,MP,0.009290144064473678,0.007858183203219998,0.0014319608612536807
A,2014_2018,C_plus_turnout_size,ridge,OTHER,0.014537132668788925,0.006242691129642963,0.008294441539145962
A,2014_2018,C_plus_turnout_size,ridge,S,0.0553486301198967,0.02286194170144131,0.03248668841845539
A,2014_2018,C_plus_turnout_size,ridge,SD,0.04291055769243184,0.01953241501787044,0.023378142674561404
A,2014_2018,C_plus_turnout_size,ridge,V,0.011707585843846315,0.012546474335803888,-0.0008388884919575731
B,2018_2022,A_previous_shares,elastic_net,C,0.015720003121852306,0.012514718684443852,0.003205284437408454
B,2018_2022,A_previous_shares,elastic_net,KD,0.01035778433672842,0.011773950169547204,-0.001416165832818785
B,2018_2022,A_previous_shares,elastic_net,L,0.0078594937652276,0.00835506604685411,-0.00049557228162651
B,2018_2022,A_previous_shares,elastic_net,M,0.01951275490709152,0.01931022898290317,0.0002025259241883494
B,2018_2022,A_previous_shares,elastic_net,MP,0.009772491757652858,0.009116450650014915,0.0006560411076379433
B,2018_2022,A_previous_shares,elastic_net,OTHER,0.019789762691606014,0.007372434611320822,0.012417328080285193
B,2018_2022,A_previous_shares,elastic_net,S,0.026288572070827396,0.032124659196994566,-0.005836087126167171
B,2018_2022,A_previous_shares,elastic_net,SD,0.01835065864222149,0.018627705812195687,-0.00027704716997419693
B,2018_2022,A_previous_shares,elastic_net,V,0.0181156166127911,0.013029969861245504,0.005085646751545596
B,2018_2022,A_previous_shares,lightgbm,C,0.014600019350956782,0.012514718684443852,0.00208530066651293
B,2018_2022,A_previous_shares,lightgbm,KD,0.009772666896186132,0.011773950169547204,-0.002001283273361073
B,2018_2022,A_previous_shares,lightgbm,L,0.008306210340255794,0.00835506604685411,-0.00004885570659831674
B,2018_2022,A_previous_shares,lightgbm,M,0.018806576339537286,0.01931022898290317,-0.0005036526433658851
B,2018_2022,A_previous_shares,lightgbm,MP,0.009838664590614226,0.009116450650014915,0.0007222139405993113
B,2018_2022,A_previous_shares,lightgbm,OTHER,0.017580568591273868,0.007372434611320822,0.010208133979953047
