party,V,S,MP,C,L,M,KD,SD,OTHER
V,0.9999999999999998,-0.09079097670736351,-0.0714975032384095,0.018677091177891646,-0.07899752048034453,-0.24581844588565654,-0.09766708680498842,-0.10858510885083138,-0.3032200300575434
S,-0.09079097670736351,1.0,0.11802562293111939,0.05750823602225014,-0.20685356492997334,-0.459394029816662,-0.39160470957896015,-0.21784124258785714,-0.3610654787777607
MP,-0.0714975032384095,0.1180256229311194,0.9999999999999999,-0.11685941592664814,-0.1092624737051682,-0.20080948134066065,-0.13740145287018188,0.017679352646184778,-0.137221319507668
C,0.018677091177891653,0.05750823602225015,-0.11685941592664814,1.0,-0.17403200299917837,-0.28632773974189507,-0.3935699994080752,-0.3006558684814634,-0.29445378599297484
L,-0.07899752048034453,-0.20685356492997337,-0.10926247370516823,-0.17403200299917837,1.0,0.09438995545194553,0.09870564497386392,-0.1375034769377942,0.11990923413708164
M,-0.24581844588565654,-0.459394029816662,-0.20080948134066065,-0.28632773974189507,0.09438995545194556,0.9999999999999999,0.17644266816662063,-0.26310462238191484,0.307768355860756
KD,-0.09766708680498841,-0.3916047095789602,-0.13740145287018188,-0.3935699994080752,0.09870564497386392,0.1764426681666206,0.9999999999999999,-0.04076207095435199,0.19863152554329322
SD,-0.10858510885083136,-0.21784124258785714,0.017679352646184796,-0.3006558684814634,-0.13750347693779422,-0.26310462238191484,-0.040762070954352005,1.0,0.09530207744289686
OTHER,-0.3032200300575434,-0.3610654787777607,-0.13722131950766803,-0.2944537859929748,0.11990923413708164,0.307768355860756,0.19863152554329322,0.09530207744289687,1.0000000000000002
