transition_id,model,party,predicted_national_share,actual_evaluation_share
2018_2022,T0_calibrated_nonparty_poll,KD,0.052711719819,0.054765959017
2018_2022,T0_calibrated_nonparty_poll,L,0.033677241127,0.044931680285
2018_2022,T0_calibrated_nonparty_poll,M,0.212645116818,0.188591684545
2018_2022,T0_calibrated_nonparty_poll,MP,0.031836631128,0.048623074845
2018_2022,T0_calibrated_nonparty_poll,OTHER,0.019909933527,0.014802703992
2018_2022,T0_calibrated_nonparty_poll,S,0.332378981863,0.304275292217
2018_2022,T0_calibrated_nonparty_poll,SD,0.173954131818,0.213057079655
2018_2022,T0_calibrated_nonparty_poll,V,0.074726810866,0.063055235267
2018_2022,T0_calibrated_prior_0,C,0.068381492352,0.067897290177
2018_2022,T0_calibrated_prior_0,KD,0.052811572928,0.054765959017
2018_2022,T0_calibrated_prior_0,L,0.033628804298,0.044931680285
2018_2022,T0_calibrated_prior_0,M,0.212573554076,0.188591684545
2018_2022,T0_calibrated_prior_0,MP,0.031635874365,0.048623074845
2018_2022,T0_calibrated_prior_0,OTHER,0.019885605819,0.014802703992
2018_2022,T0_calibrated_prior_0,S,0.332420174872,0.304275292217
2018_2022,T0_calibrated_prior_0,SD,0.174353730428,0.213057079655
2018_2022,T0_calibrated_prior_0,V,0.074309190861,0.063055235267
2018_2022,T0_calibrated_prior_1000,C,0.067310380453,0.067897290177
2018_2022,T0_calibrated_prior_1000,KD,0.052147927805,0.054765959017
2018_2022,T0_calibrated_prior_1000,L,0.033892042637,0.044931680285
2018_2022,T0_calibrated_prior_1000,M,0.212597967604,0.188591684545
2018_2022,T0_calibrated_prior_1000,MP,0.032753978942,0.048623074845
2018_2022,T0_calibrated_prior_1000,OTHER,0.020024594927,0.014802703992
2018_2022,T0_calibrated_prior_1000,S,0.332876529751,0.304275292217
2018_2022,T0_calibrated_prior_1000,SD,0.171368959589,0.213057079655
2018_2022,T0_calibrated_prior_1000,V,0.077027618292,0.063055235267
2018_2022,T0_calibrated_suppressed_zero,C,0.068419269671,0.067897290177
2018_2022,T0_calibrated_suppressed_zero,KD,0.052850969188,0.054765959017
2018_2022,T0_calibrated_suppressed_zero,L,0.033641582556,0.044931680285
2018_2022,T0_calibrated_suppressed_zero,M,0.212725112836,0.188591684545
2018_2022,T0_calibrated_suppressed_zero,MP,0.031512921708,0.048623074845
2018_2022,T0_calibrated_suppressed_zero,OTHER,0.019819211873,0.014802703992
2018_2022,T0_calibrated_suppressed_zero,S,0.332511187251,0.304275292217
2018_2022,T0_calibrated_suppressed_zero,SD,0.174446929209,0.213057079655
2018_2022,T0_calibrated_suppressed_zero,V,0.074072815707,0.063055235267
2018_2022,T0_raw,C,0.069949729987,0.067897290177
2018_2022,T0_raw,KD,0.059657948787,0.054765959017
2018_2022,T0_raw,L,0.029897483816,0.044931680285
2018_2022,T0_raw,M,0.209705228396,0.188591684545
2018_2022,T0_raw,MP,0.025751732632,0.048623074845
2018_2022,T0_raw,OTHER,0.013616158395,0.014802703992
2018_2022,T0_raw,S,0.337408894920,0.304275292217
2018_2022,T0_raw,SD,0.179611605796,0.213057079655
2018_2022,T0_raw,V,0.074401217272,0.063055235267
2018_2022,T0_shrunk_uncalibrated,C,0.062303847458,0.067897290177
2018_2022,T0_shrunk_uncalibrated,KD,0.051331197586,0.054765959017
2018_2022,T0_shrunk_uncalibrated,L,0.027882685211,0.044931680285
2018_2022,T0_shrunk_uncalibrated,M,0.217161046857,0.188591684545
2018_2022,T0_shrunk_uncalibrated,MP,0.023616192562,0.048623074845
2018_2022,T0_shrunk_uncalibrated,OTHER,0.012076412722,0.014802703992
2018_2022,T0_shrunk_uncalibrated,S,0.360241444327,0.304275292217
2018_2022,T0_shrunk_uncalibrated,SD,0.176566768218,0.213057079655
2018_2022,T0_shrunk_uncalibrated,V,0.068820405060,0.063055235267
