previous_party,pearson_cell_correlation,total_variation_distance,maximum_cell_change
V,0.983912710629,0.119448219924,0.109662469639
S,0.997178195263,0.099039848952,0.095015802552
MP,0.929231187613,0.184521435693,0.159430043204
C,0.927365135983,0.208773116161,0.199366496092
L,0.870857796839,0.221723025928,0.176594016966
M,0.989160939932,0.116163231240,0.052518427518
KD,0.962135657924,0.148543958979,0.087131674804
SD,0.997622750155,0.112920791294,0.105181516801
OTHER,0.858040558401,0.272742681470,0.100974393023
