wave_id,previous_party,current_party,estimate,margin_error,row_base,cell_status
scb_2018M05_original,OTHER,OTHER,0.267000000000,0.073000000000,143,PUBLISHED
scb_2018M05_original,OTHER,S,0.118000000000,0.053000000000,143,PUBLISHED
scb_2018M05_original,OTHER,SD,0.028000000000,0.027000000000,143,PUBLISHED
scb_2018M05_original,OTHER,V,0.255000000000,0.072000000000,143,PUBLISHED
scb_2018M05_original,S,BLANK,0.033000000000,0.009000000000,1431,PUBLISHED
scb_2018M05_original,S,C,0.014000000000,0.006000000000,1431,PUBLISHED
scb_2018M05_original,S,DONT_KNOW,0.092000000000,0.015000000000,1431,PUBLISHED
scb_2018M05_original,S,KD,0.003000000000,0.003000000000,1431,PUBLISHED
scb_2018M05_original,S,L,0.009000000000,0.005000000000,1431,PUBLISHED
scb_2018M05_original,S,M,0.030000000000,0.009000000000,1431,PUBLISHED
scb_2018M05_original,S,MISSING,0.141000000000,0.018000000000,1431,PUBLISHED
scb_2018M05_original,S,MP,0.012000000000,0.006000000000,1431,PUBLISHED
scb_2018M05_original,S,OTHER,0.007000000000,0.004000000000,1431,PUBLISHED
scb_2018M05_original,S,S,0.569000000000,0.026000000000,1431,PUBLISHED
scb_2018M05_original,S,SD,0.061000000000,0.012000000000,1431,PUBLISHED
scb_2018M05_original,S,V,0.029000000000,0.009000000000,1431,PUBLISHED
scb_2018M05_original,SD,BLANK,0.012000000000,0.011000000000,420,PUBLISHED
scb_2018M05_original,SD,C,0.002000000000,0.005000000000,420,PUBLISHED
scb_2018M05_original,SD,DONT_KNOW,0.038000000000,0.018000000000,420,PUBLISHED
scb_2018M05_original,SD,KD,0.005000000000,0.006000000000,420,PUBLISHED
scb_2018M05_original,SD,L,0.002000000000,0.005000000000,420,PUBLISHED
scb_2018M05_original,SD,M,0.038000000000,0.018000000000,420,PUBLISHED
scb_2018M05_original,SD,MISSING,0.155000000000,0.035000000000,420,PUBLISHED
scb_2018M05_original,SD,MP,0.000000000000,0.000000000000,420,PUBLISHED
scb_2018M05_original,SD,OTHER,0.010000000000,0.009000000000,420,PUBLISHED
scb_2018M05_original,SD,S,0.005000000000,0.007000000000,420,PUBLISHED
scb_2018M05_original,SD,SD,0.726000000000,0.043000000000,420,PUBLISHED
scb_2018M05_original,SD,V,0.007000000000,0.008000000000,420,PUBLISHED
scb_2018M05_original,V,BLANK,0.019000000000,0.017000000000,253,PUBLISHED
scb_2018M05_original,V,C,0.020000000000,0.017000000000,253,PUBLISHED
scb_2018M05_original,V,DONT_KNOW,0.068000000000,0.031000000000,253,PUBLISHED
scb_2018M05_original,V,KD,0.004000000000,0.008000000000,253,PUBLISHED
scb_2018M05_original,V,L,0.000000000000,0.000000000000,253,PUBLISHED
scb_2018M05_original,V,M,0.008000000000,0.011000000000,253,PUBLISHED
scb_2018M05_original,V,MISSING,0.080000000000,0.033000000000,253,PUBLISHED
scb_2018M05_original,V,MP,0.020000000000,0.017000000000,253,PUBLISHED
scb_2018M05_original,V,OTHER,0.027000000000,0.020000000000,253,PUBLISHED
scb_2018M05_original,V,S,0.083000000000,0.034000000000,253,PUBLISHED
scb_2018M05_original,V,SD,0.027000000000,0.020000000000,253,PUBLISHED
scb_2018M05_original,V,V,0.644000000000,0.059000000000,253,PUBLISHED
scb_2022M05,C,BLANK,0.048000000000,0.026000000000,301,PUBLISHED
scb_2022M05,C,C,0.463000000000,0.058000000000,301,PUBLISHED
scb_2022M05,C,DONT_KNOW,0.135000000000,0.040000000000,301,PUBLISHED
scb_2022M05,C,KD,0.017000000000,0.015000000000,301,PUBLISHED
scb_2022M05,C,L,0.032000000000,0.018000000000,301,PUBLISHED
scb_2022M05,C,M,0.079000000000,0.031000000000,301,PUBLISHED
scb_2022M05,C,MP,,,301,SUPPRESSED
scb_2022M05,C,OTHER,,,301,SUPPRESSED
scb_2022M05,C,S,0.198000000000,0.047000000000,301,PUBLISHED
scb_2022M05,C,SD,,,301,SUPPRESSED
scb_2022M05,C,V,,,301,SUPPRESSED
scb_2022M05,KD,BLANK,0.038000000000,0.026000000000,219,PUBLISHED
scb_2022M05,KD,C,0.041000000000,0.025000000000,219,PUBLISHED
scb_2022M05,KD,DONT_KNOW,0.137000000000,0.047000000000,219,PUBLISHED
scb_2022M05,KD,KD,0.451000000000,0.068000000000,219,PUBLISHED
scb_2022M05,KD,L,0.014000000000,0.014000000000,219,PUBLISHED
scb_2022M05,KD,M,0.182000000000,0.051000000000,219,PUBLISHED
scb_2022M05,KD,MP,,,219,SUPPRESSED
scb_2022M05,KD,OTHER,0.016000000000,0.015000000000,219,PUBLISHED
scb_2022M05,KD,S,0.061000000000,0.034000000000,219,PUBLISHED
scb_2022M05,KD,SD,0.050000000000,0.032000000000,219,PUBLISHED
scb_2022M05,KD,V,,,219,SUPPRESSED
scb_2022M05,L,BLANK,0.043000000000,0.029000000000,263,PUBLISHED
scb_2022M05,L,C,0.104000000000,0.039000000000,263,PUBLISHED
scb_2022M05,L,DONT_KNOW,0.122000000000,0.043000000000,263,PUBLISHED
scb_2022M05,L,KD,0.023000000000,0.019000000000,263,PUBLISHED
scb_2022M05,L,L,0.301000000000,0.059000000000,263,PUBLISHED
scb_2022M05,L,M,0.194000000000,0.052000000000,263,PUBLISHED
scb_2022M05,L,MP,0.021000000000,0.017000000000,263,PUBLISHED
scb_2022M05,L,OTHER,0.000000000000,0.000000000000,263,PUBLISHED
scb_2022M05,L,S,0.179000000000,0.048000000000,263,PUBLISHED
scb_2022M05,L,SD,0.015000000000,0.015000000000,263,PUBLISHED
scb_2022M05,L,V,0.000000000000,0.000000000000,263,PUBLISHED
scb_2022M05,M,BLANK,0.039000000000,0.015000000000,801,PUBLISHED
scb_2022M05,M,C,0.018000000000,0.009000000000,801,PUBLISHED
scb_2022M05,M,DONT_KNOW,0.081000000000,0.020000000000,801,PUBLISHED
scb_2022M05,M,KD,0.052000000000,0.016000000000,801,PUBLISHED
scb_2022M05,M,L,0.016000000000,0.009000000000,801,PUBLISHED
scb_2022M05,M,M,0.648000000000,0.035000000000,801,PUBLISHED
scb_2022M05,M,MP,,,801,SUPPRESSED
scb_2022M05,M,OTHER,,,801,SUPPRESSED
scb_2022M05,M,S,0.064000000000,0.018000000000,801,PUBLISHED
scb_2022M05,M,SD,0.073000000000,0.019000000000,801,PUBLISHED
scb_2022M05,M,V,,,801,SUPPRESSED
scb_2022M05,MP,BLANK,0.041000000000,0.031000000000,184,PUBLISHED
