wave_id,matrix_stage,previous_party,current_party,probability
scb_2018M05_original,NORMALIZED_RAW,OTHER,OTHER,0.334586466165
scb_2018M05_original,SHRUNK_200,V,V,0.464451740961
scb_2018M05_original,SHRUNK_200,V,S,0.180593561928
scb_2018M05_original,SHRUNK_200,V,MP,0.032393884706
scb_2018M05_original,SHRUNK_200,V,C,0.051819933271
scb_2018M05_original,SHRUNK_200,V,L,0.019426048565
scb_2018M05_original,SHRUNK_200,V,M,0.105142984346
scb_2018M05_original,SHRUNK_200,V,KD,0.015485399458
scb_2018M05_original,SHRUNK_200,V,SD,0.099780309475
scb_2018M05_original,SHRUNK_200,V,OTHER,0.030906137289
scb_2018M05_original,SHRUNK_200,S,V,0.043738900760
scb_2018M05_original,SHRUNK_200,S,S,0.714848215017
scb_2018M05_original,SHRUNK_200,S,MP,0.019616857982
scb_2018M05_original,SHRUNK_200,S,C,0.027402990760
scb_2018M05_original,SHRUNK_200,S,L,0.016153477330
scb_2018M05_original,SHRUNK_200,S,M,0.063573107553
scb_2018M05_original,SHRUNK_200,S,KD,0.007142105360
scb_2018M05_original,SHRUNK_200,S,SD,0.095600900135
scb_2018M05_original,SHRUNK_200,S,OTHER,0.011923445104
scb_2018M05_original,SHRUNK_200,MP,V,0.093736694678
scb_2018M05_original,SHRUNK_200,MP,S,0.234350140056
scb_2018M05_original,SHRUNK_200,MP,MP,0.260358543417
scb_2018M05_original,SHRUNK_200,MP,C,0.106882352941
scb_2018M05_original,SHRUNK_200,MP,L,0.039521008403
scb_2018M05_original,SHRUNK_200,MP,M,0.122509803922
scb_2018M05_original,SHRUNK_200,MP,KD,0.016509803922
scb_2018M05_original,SHRUNK_200,MP,SD,0.089593837535
scb_2018M05_original,SHRUNK_200,MP,OTHER,0.036537815126
scb_2018M05_original,SHRUNK_200,C,V,0.037433245221
scb_2018M05_original,SHRUNK_200,C,S,0.139959902438
scb_2018M05_original,SHRUNK_200,C,MP,0.020387439502
scb_2018M05_original,SHRUNK_200,C,C,0.457823238708
scb_2018M05_original,SHRUNK_200,C,L,0.040380543743
scb_2018M05_original,SHRUNK_200,C,M,0.157614578146
scb_2018M05_original,SHRUNK_200,C,KD,0.019251427039
scb_2018M05_original,SHRUNK_200,C,SD,0.107898198164
scb_2018M05_original,SHRUNK_200,C,OTHER,0.019251427039
scb_2018M05_original,SHRUNK_200,L,V,0.030641821946
scb_2018M05_original,SHRUNK_200,L,S,0.149010075145
scb_2018M05_original,SHRUNK_200,L,MP,0.023517707919
scb_2018M05_original,SHRUNK_200,L,C,0.102124604232
scb_2018M05_original,SHRUNK_200,L,L,0.332397330980
scb_2018M05_original,SHRUNK_200,L,M,0.208644324873
scb_2018M05_original,SHRUNK_200,L,KD,0.032409441917
scb_2018M05_original,SHRUNK_200,L,SD,0.091293390312
scb_2018M05_original,SHRUNK_200,L,OTHER,0.029961302675
scb_2018M05_original,SHRUNK_200,M,V,0.015080242443
scb_2018M05_original,SHRUNK_200,M,S,0.059648153090
scb_2018M05_original,SHRUNK_200,M,MP,0.010707887013
scb_2018M05_original,SHRUNK_200,M,C,0.074951397095
scb_2018M05_original,SHRUNK_200,M,L,0.032903213510
scb_2018M05_original,SHRUNK_200,M,M,0.649395799184
scb_2018M05_original,SHRUNK_200,M,KD,0.013376281782
scb_2018M05_original,SHRUNK_200,M,SD,0.131721495826
scb_2018M05_original,SHRUNK_200,M,OTHER,0.012215530058
scb_2018M05_original,SHRUNK_200,KD,V,0.038541666667
scb_2018M05_original,SHRUNK_200,KD,S,0.154136029412
scb_2018M05_original,SHRUNK_200,KD,MP,0.029748774510
scb_2018M05_original,SHRUNK_200,KD,C,0.110876225490
scb_2018M05_original,SHRUNK_200,KD,L,0.036397058824
scb_2018M05_original,SHRUNK_200,KD,M,0.187561274510
scb_2018M05_original,SHRUNK_200,KD,KD,0.277359068627
scb_2018M05_original,SHRUNK_200,KD,SD,0.143535539216
scb_2018M05_original,SHRUNK_200,KD,OTHER,0.021844362745
scb_2018M05_original,SHRUNK_200,SD,V,0.029835666464
scb_2018M05_original,SHRUNK_200,SD,S,0.095550821668
scb_2018M05_original,SHRUNK_200,SD,MP,0.013870967742
scb_2018M05_original,SHRUNK_200,SD,C,0.029768715764
scb_2018M05_original,SHRUNK_200,SD,L,0.015897748022
scb_2018M05_original,SHRUNK_200,SD,M,0.105283018868
scb_2018M05_original,SHRUNK_200,SD,KD,0.013615337797
scb_2018M05_original,SHRUNK_200,SD,SD,0.678301886792
scb_2018M05_original,SHRUNK_200,SD,OTHER,0.017875836884
scb_2018M05_original,SHRUNK_200,OTHER,V,0.176371687236
scb_2018M05_original,SHRUNK_200,OTHER,S,0.226662867080
scb_2018M05_original,SHRUNK_200,OTHER,MP,0.053807258671
scb_2018M05_original,SHRUNK_200,OTHER,C,0.075806133409
scb_2018M05_original,SHRUNK_200,OTHER,L,0.025655976676
scb_2018M05_original,SHRUNK_200,OTHER,M,0.142227288337
scb_2018M05_original,SHRUNK_200,OTHER,KD,0.020566722930
scb_2018M05_original,SHRUNK_200,OTHER,SD,0.122500127871
scb_2018M05_original,SHRUNK_200,OTHER,OTHER,0.156401937789
scb_2018M05_original,CALIBRATED_200,V,V,0.495814615036
scb_2018M05_original,CALIBRATED_200,V,S,0.150345183062
scb_2018M05_original,CALIBRATED_200,V,MP,0.037226637880
scb_2018M05_original,CALIBRATED_200,V,C,0.052789346973
scb_2018M05_original,CALIBRATED_200,V,L,0.019523868320
scb_2018M05_original,CALIBRATED_200,V,M,0.095033932627
scb_2018M05_original,CALIBRATED_200,V,KD,0.017016447120
scb_2018M05_original,CALIBRATED_200,V,SD,0.095325115371
scb_2018M05_original,CALIBRATED_200,V,OTHER,0.036924853611
scb_2018M05_original,CALIBRATED_200,S,V,0.053096494465
scb_2018M05_original,CALIBRATED_200,S,S,0.676737662822
scb_2018M05_original,CALIBRATED_200,S,MP,0.025635363874
scb_2018M05_original,CALIBRATED_200,S,C,0.031744366181
scb_2018M05_original,CALIBRATED_200,S,L,0.018461487136
scb_2018M05_original,CALIBRATED_200,S,M,0.065341800639
scb_2018M05_original,CALIBRATED_200,S,KD,0.008924666249
scb_2018M05_original,CALIBRATED_200,S,SD,0.103858902772
scb_2018M05_original,CALIBRATED_200,S,OTHER,0.016199255863
scb_2018M05_original,CALIBRATED_200,MP,V,0.099957797047
scb_2018M05_original,CALIBRATED_200,MP,S,0.194886063508
scb_2018M05_original,CALIBRATED_200,MP,MP,0.298875921006
scb_2018M05_original,CALIBRATED_200,MP,C,0.108763646031
scb_2018M05_original,CALIBRATED_200,MP,L,0.039676899620
scb_2018M05_original,CALIBRATED_200,MP,M,0.110610806263
scb_2018M05_original,CALIBRATED_200,MP,KD,0.018122441342
scb_2018M05_original,CALIBRATED_200,MP,SD,0.085500556919
scb_2018M05_original,CALIBRATED_200,MP,OTHER,0.043605868265
scb_2018M05_original,CALIBRATED_200,C,V,0.040919500689
scb_2018M05_original,CALIBRATED_200,C,S,0.119312240933
scb_2018M05_original,CALIBRATED_200,C,MP,0.023990957712
scb_2018M05_original,CALIBRATED_200,C,C,0.477574787200
scb_2018M05_original,CALIBRATED_200,C,L,0.041557334087
scb_2018M05_original,CALIBRATED_200,C,M,0.145877698483
scb_2018M05_original,CALIBRATED_200,C,KD,0.021662247858
scb_2018M05_original,CALIBRATED_200,C,SD,0.105553053797
scb_2018M05_original,CALIBRATED_200,C,OTHER,0.023552179240
scb_2018M05_original,CALIBRATED_200,L,V,0.033753744842
scb_2018M05_original,CALIBRATED_200,L,S,0.128006356838
scb_2018M05_original,CALIBRATED_200,L,MP,0.027887810851
scb_2018M05_original,CALIBRATED_200,L,C,0.107351588719
scb_2018M05_original,CALIBRATED_200,L,L,0.344720869855
scb_2018M05_original,CALIBRATED_200,L,M,0.194595873802
scb_2018M05_original,CALIBRATED_200,L,KD,0.036749097470
scb_2018M05_original,CALIBRATED_200,L,SD,0.089997506691
scb_2018M05_original,CALIBRATED_200,L,OTHER,0.036937150932
scb_2018M05_original,CALIBRATED_200,M,V,0.017318170907
scb_2018M05_original,CALIBRATED_200,M,S,0.053419426815
scb_2018M05_original,CALIBRATED_200,M,MP,0.013237608446
scb_2018M05_original,CALIBRATED_200,M,C,0.082138003271
scb_2018M05_original,CALIBRATED_200,M,L,0.035574162439
scb_2018M05_original,CALIBRATED_200,M,M,0.631426558657
scb_2018M05_original,CALIBRATED_200,M,KD,0.015812365815
scb_2018M05_original,CALIBRATED_200,M,SD,0.135373642718
scb_2018M05_original,CALIBRATED_200,M,OTHER,0.015700060931
scb_2018M05_original,CALIBRATED_200,KD,V,0.041529826394
scb_2018M05_original,CALIBRATED_200,KD,S,0.129521634721
scb_2018M05_original,CALIBRATED_200,KD,MP,0.034507282390
scb_2018M05_original,CALIBRATED_200,KD,C,0.114008903492
scb_2018M05_original,CALIBRATED_200,KD,L,0.036923136500
scb_2018M05_original,CALIBRATED_200,KD,M,0.171116729954
scb_2018M05_original,CALIBRATED_200,KD,KD,0.307637831537
scb_2018M05_original,CALIBRATED_200,KD,SD,0.138411709836
scb_2018M05_original,CALIBRATED_200,KD,OTHER,0.026342945176
scb_2018M05_original,CALIBRATED_200,SD,V,0.033416415641
scb_2018M05_original,CALIBRATED_200,SD,S,0.083457826841
scb_2018M05_original,CALIBRATED_200,SD,MP,0.016724106938
scb_2018M05_original,CALIBRATED_200,SD,C,0.031816685213
scb_2018M05_original,CALIBRATED_200,SD,L,0.016763411286
scb_2018M05_original,CALIBRATED_200,SD,M,0.099839436798
scb_2018M05_original,CALIBRATED_200,SD,KD,0.015697131188
scb_2018M05_original,CALIBRATED_200,SD,SD,0.679877877065
scb_2018M05_original,CALIBRATED_200,SD,OTHER,0.022407109031
scb_2018M05_original,CALIBRATED_200,OTHER,V,0.188873218844
scb_2018M05_original,CALIBRATED_200,OTHER,S,0.189291196058
scb_2018M05_original,CALIBRATED_200,OTHER,MP,0.062028950366
scb_2018M05_original,CALIBRATED_200,OTHER,C,0.077466969867
scb_2018M05_original,CALIBRATED_200,OTHER,L,0.025866206177
scb_2018M05_original,CALIBRATED_200,OTHER,M,0.128956760478
scb_2018M05_original,CALIBRATED_200,OTHER,KD,0.022671192064
scb_2018M05_original,CALIBRATED_200,OTHER,SD,0.117398302713
scb_2018M05_original,CALIBRATED_200,OTHER,OTHER,0.187447203433
scb_2018M05_original,CALIBRATED_0,V,V,0.746150792754
scb_2018M05_original,CALIBRATED_0,V,S,0.113154087224
scb_2018M05_original,CALIBRATED_0,V,MP,0.029400964596
scb_2018M05_original,CALIBRATED_0,V,C,0.024609072246
scb_2018M05_original,CALIBRATED_0,V,L,0.000000000001
scb_2018M05_original,CALIBRATED_0,V,M,0.011313432294
