actual_swing_size,weighted_mae,unweighted_mae,valid_votes,districts
Q1,0.010419853935406127,0.010720600113444334,862743,833
Q2,0.012122536971709272,0.012450594237126371,877946,833
Q3,0.013679363339720002,0.01400430516979798,868732,832
Q4,0.016103568453464747,0.016415864441328615,846783,833
Q5,0.02223455471469251,0.02347908546627046,745731,833
