component,eigenvalue,explained_variance
1,0.0022560919900183564,0.5134546979512041
2,0.0007988623337636293,0.18180979326284516
3,0.0004604565753797498,0.10479341838775451
4,0.00025456503659982934,0.05793540979472168
5,0.00021074103216062417,0.04796168484826626
6,0.00015788143305081907,0.035931586069126546
7,0.00013549918539577094,0.030837702371104874
8,0.00011984797303627486,0.027275707314976944
9,1.0566736016997394e-19,2.4048399949743905e-17
