feature,included_mean,excluded_mean,standardized_mean_difference,included_n,excluded_n
eligible_voters_2022,1252.8988952929876,1218.2471428571428,0.12876580462911205,4164,2100
municipality_population_change,0.0299893183046279,0.03858078074950427,-0.31477266772457263,4164,2100
municipality_electorate_change,0.03545899018104271,0.041530368183000856,-0.27010083629700166,4164,2100
municipality_turnout,0.8439561131274289,0.8439453876185251,0.00037415550950057095,4164,2100
municipality_share_V,0.07756744200782073,0.08738885280394776,-0.2879162626875193,4164,2100
municipality_share_S,0.2882489049680127,0.274989696780194,0.22510572238797563,4164,2100
municipality_share_MP,0.04188387974171948,0.04799494705231682,-0.33219113010473716,4164,2100
municipality_share_C,0.08734889539382043,0.08202912312713173,0.2399062401762175,4164,2100
municipality_share_L,0.05301407089531705,0.05864878907145277,-0.2996606398865976,4164,2100
municipality_share_M,0.1939055026805538,0.20411163372963378,-0.22488837839178308,4164,2100
municipality_share_KD,0.06368250635812815,0.06225344445860831,0.07822670482912739,4164,2100
municipality_share_SD,0.17947801341427205,0.1667897797039572,0.23356508905096188,4164,2100
municipality_share_OTHER,0.01487078454035556,0.01579373327275757,-0.2559603761765201,4164,2100
