party,V,S,MP,C,L,M,KD,SD,OTHER
V,1.0000000000000002,-0.39305488400273947,-0.1014585993115674,0.21372040629634906,-0.09371551691140678,-0.13229025854875417,-0.0869595391811788,-0.31071554055879114,0.49863751991301397
S,-0.39305488400273947,1.0,-0.06539179081795202,0.06865615368412456,-0.007318512154740945,-0.5126231439039761,-0.3990176615542376,-0.3505949045208365,-0.557056874542823
MP,-0.10145859931156737,-0.06539179081795199,0.9999999999999998,-0.04750442156190535,-0.039914399796983496,-0.12782909912637272,-0.006231009295342818,-0.09936995469449325,-0.07665699240730817
C,0.2137204062963491,0.06865615368412455,-0.047504421561905326,1.0000000000000002,-0.16597944738641632,-0.3434091944471242,-0.4156536420806797,-0.3507973090678865,0.11667440015756612
L,-0.09371551691140678,-0.00731851215474094,-0.039914399796983496,-0.16597944738641632,0.9999999999999999,-0.08434382087690648,-0.08079389520340789,-0.04880904434696602,-0.07925557813797807
M,-0.13229025854875412,-0.5126231439039762,-0.12782909912637272,-0.3434091944471242,-0.08434382087690646,1.0,0.26703875010469025,0.16814790791443446,0.03753666381476816
KD,-0.08695953918117882,-0.3990176615542375,-0.006231009295342822,-0.4156536420806796,-0.08079389520340789,0.26703875010469025,1.0,0.18028667616881508,0.041082773761891664
SD,-0.31071554055879125,-0.3505949045208365,-0.09936995469449325,-0.3507973090678865,-0.048809044346966,0.16814790791443443,0.18028667616881502,1.0000000000000002,-0.11422187529372844
OTHER,0.4986375199130141,-0.5570568745428232,-0.07665699240730817,0.11667440015756612,-0.07925557813797807,0.03753666381476816,0.041082773761891664,-0.11422187529372844,1.0000000000000002
