block,left_2022,right_tido_2022,other
left_2022,1.0,-0.945164816529209,-0.2821284683932794
right_tido_2022,-0.945164816529209,1.0,-0.04666849907433059
other,-0.2821284683932794,-0.046668499074330606,1.0
