party,weighted_mae,unweighted_mae,party_observation_weight,observations
L,0.00835506604685411,0.008428735889601111,4201935,4164
MP,0.009116450650014915,0.009439057090216314,4201935,4164
M,0.01931022898290317,0.019533366357466463,4201935,4164
OTHER,0.007372434611320822,0.008557848975763754,4201935,4164
C,0.012514718684443852,0.013027619840310613,4201935,4164
V,0.013029969861245504,0.014538704573174816,4201935,4164
S,0.032124659196994566,0.03385346995786475,4201935,4164
KD,0.011773950169547204,0.012055828878028953,4201935,4164
SD,0.018627705812195687,0.019295224493035792,4201935,4164
