municipality_id,weighted_mae,unweighted_mae,party_observation_weight,observations
2023,0.016918142491927256,0.017606899417414466,57762,63
0115,0.012683958198955226,0.012557057204886389,89712,81
0685,0.011624497882134868,0.012252804229537692,152685,126
1401,0.013691959736004402,0.013605328405551075,221247,180
1444,0.011676334643008426,0.01172153004593312,32895,27
0182,0.017113446342446204,0.01741456165217338,385992,333
0123,0.015219827437615213,0.015862046361259596,329517,306
1270,0.010542336048030447,0.010548126884578077,34155,27
1442,0.010446427984484048,0.010350091332480875,38142,36
0483,0.011868462433986753,0.01206819075914199,185904,180
0512,0.011317766112360217,0.012161140624324808,22626,36
1291,0.01277545471238363,0.01338667978638671,101727,108
2260,0.021966903800479522,0.02201016657629355,51399,81
1782,0.019468546302743136,0.021466189835504048,54225,90
2184,0.01110271029947456,0.011608849198388617,46467,45
2462,0.029773662053648446,0.032580595785211115,34092,72
1277,0.010828895659221844,0.011585712864463431,75240,90
2417,0.026302576004580837,0.025005111219116707,21708,27
2082,0.010644495192464326,0.01041587388376016,66573,54
1233,0.01489291045269777,0.015309534353027251,87003,81
1863,0.012668976509051869,0.012436981079525766,35523,36
1231,0.01587845291123599,0.01628456588885664,71073,72
1439,0.012201248107349228,0.011810161128873104,37134,36
1763,0.016143774785301185,0.016083751204973365,22248,18
0140,0.011691400871300432,0.011968939564155717,21033,18
1883,0.013381536134868897,0.013536367348964606,171549,153
1780,0.012358461600964637,0.01260141889009454,535671,468
2313,0.021064408532970275,0.021448323181813722,41220,63
0461,0.011740547435786087,0.011937522725142357,50706,54
2062,0.014197983309769147,0.01432346414757426,120051,108
1907,0.014490182434476995,0.014385642496377448,52371,54
1860,0.0139665874114628,0.014895758863466776,29529,36
1415,0.01101538057181332,0.011188095102625096,111456,108
0687,0.010873218145709794,0.011089282016986298,105120,90
0821,0.01671459360735403,0.017302815639549714,28161,45
1290,0.012493295356503412,0.013729382059253354,366768,306
0582,0.012046982376040275,0.012046982376040273,11088,9
1981,0.012253584190558294,0.012516630911564826,128178,108
1781,0.012725174014188653,0.012725174014188653,12375,9
2029,0.013284368358442395,0.013419664445514871,95589,81
1384,0.012745459391349627,0.012670468921277508,395991,315
1480,0.01603272892209292,0.01620452099607057,685782,765
1452,0.014538218914387621,0.015605522714105029,27963,27
0484,0.012194039959449548,0.012991421554912347,392103,405
0882,0.013087893185060784,0.013325564321617312,156609,153
2031,0.013052591021362275,0.013587461793148715,67320,54
0880,0.011933041594586096,0.012223033758305977,318951,297
1427,0.010265353550638914,0.010793053594673417,31257,27
0765,0.01220396250614686,0.012371598955998386,35838,36
2303,0.018472427719339823,0.018337016211045287,28521,36
1492,0.01260472359801541,0.012713949516260101,67977,54
1485,0.01057458690722584,0.0105770575625805,19350,18
1421,0.010998197023765697,0.011370943573468874,85221,81
1486,0.01037254893588267,0.010328379570927972,19053,18
1462,0.011536674100058228,0.011763990319154777,76653,72
0381,0.012805186218193,0.0129675998743692,126801,108
2121,0.018668167773331117,0.01858829926049626,66636,45
2083,0.013554026591040363,0.014751102213780422,83988,72
2401,0.014045988957841137,0.01528926015463412,39897,54
1481,0.013151951002421797,0.013204786588225161,328563,342
0662,0.013815188383892441,0.014198869901224669,136458,144
0860,0.012336081518507827,0.013296949466646309,74394,81
0881,0.014358347820532347,0.014818764149973816,108306,126
0760,0.01649466423461538,0.01646376757770201,46710,45
2403,0.01769640738322363,0.01769640738322363,12258,9
1983,0.014135933325920981,0.01564667495357114,139095,126
2326,0.01680188964905719,0.016151664501726337,25317,36
1407,0.017076692300538546,0.016713807986870072,70857,54
1256,0.011455944415649313,0.011794718774179811,77328,72
1962,0.01205269385522621,0.013820514724452983,30204,36
0117,0.011907634912614902,0.011792955018142792,34155,27
1083,0.011115802686067966,0.010867389069848472,102222,90
1960,0.012293154596184809,0.012346481590599567,45639,45
1082,0.012764457324138962,0.012875811606743006,184311,162
2321,0.020314584093456486,0.02134171116837455,65853,72
2523,0.017905474599727418,0.018955988537064636,56682,54
2181,0.013068012891944612,0.012880737704191299,191574,144
1265,0.010875600212022385,0.011738618715763188,110430,117
2021,0.017340532447836784,0.01862530321452688,37980,36
1980,0.012779520587047045,0.013213714215688323,796500,783
1435,0.01460650290436852,0.014581411592038377,30762,27
0563,0.014532357333649527,0.01502199468459112,44037,54
0488,0.014403383468917355,0.014403383468917357,6660,9
0486,0.012957605283263509,0.013178894863309858,81756,81
1214,0.01230314776347991,0.012655005647370529,49230,36
0780,0.012692394550425255,0.013834566933365242,275679,261
1438,0.010586580154496985,0.010594250574305918,23184,18
2280,0.012060665011764712,0.012520750722283728,141228,126
2482,0.014205732608885746,0.014330027603037448,341874,342
2481,0.013883249489590282,0.01438501328613006,65061,72
0187,0.0161411382392241,0.016243593660321194,69426,54
1490,0.013119053460146496,0.014286055796892438,357597,450
0980,0.014708640646379707,0.015289765786729585,336528,333
1293,0.010691437466578257,0.011225367798516512,186435,198
0684,0.01111259990643708,0.011033493117141645,63117,54
2418,0.022254586418836722,0.022084445610598934,13554,18
1487,0.011531275043079287,0.012610586394445112,181521,171
0513,0.011619995572030478,0.011576466295437198,58608,54
0767,0.008873607549192183,0.00900719920766575,51777,45
2061,0.015383871916081891,0.015910976458161818,62910,63
2284,0.018591887105423557,0.019320077734497062,321057,351
0360,0.014456175352873182,0.014926173919983047,105417,108
0586,0.011576574921100563,0.011875524788496142,159939,162
1814,0.014726923140477945,0.01516347985255959,49473,54
1430,0.011008328166809815,0.011134438857285918,56547,54
0186,0.0167939282404903,0.01673245741147879,267723,234
1461,0.01187318813849328,0.012392212622753725,50436,45
0686,0.01255410675080909,0.01238474680542301,100377,99
0125,0.013613298764166101,0.014053545006319109,27576,36
1284,0.011148793166649672,0.01076074489114622,83097,72
1281,0.018826768018293985,0.01923958258037143,513576,540
0114,0.014355313908133173,0.014490417914896284,206037,225
2583,0.013591860455601183,0.013922761143699263,35334,63
0683,0.014315705270835996,0.014176739327339162,190125,207
0127,0.019366312073073863,0.02112895942040068,362538,441
1278,0.013504456658404116,0.01420924594748644,75402,72
0163,0.018951893005843604,0.018839843168417178,105327,108
2182,0.012714471019001328,0.012722754205595614,124308,108
1446,0.00889655369633909,0.009020453893602755,35595,27
0160,0.01794816306858392,0.018149992244394304,317574,279
1472,0.009267363330700433,0.00937956170199572,61641,54
1261,0.010488721413180116,0.010507791368145744,63180,63
0139,0.012150760880606716,0.012136821607245682,95157,90
0331,0.015097195734347011,0.01545835228829847,80676,54
1419,0.011537130884389471,0.011782288710227276,99486,90
1280,0.021412495058001385,0.022708082397127162,1445274,1566
1292,0.010920403122952786,0.010988991365824445,241794,189
1440,0.009113164398218757,0.009279110020209981,106344,99
0583,0.010652108916824431,0.011607766434330858,71748,63
1257,0.010439914468266273,0.011090934436470268,34146,36
1081,0.01238467172897199,0.012533288677981062,102978,108
2463,0.024020707070614353,0.02410495636055743,12663,18
1861,0.012690126967958237,0.012886565285759764,87588,99
1493,0.011668628784072573,0.011665607594042785,102726,99
1272,0.014574196362192291,0.014306465974574696,32607,27
2026,0.015580991257961098,0.0156465700340938,58095,63
1783,0.02251085951855963,0.02227852755476881,63918,54
2422,0.016156267323963698,0.016831947249411162,11439,18
1885,0.011825016482417764,0.012782869714796107,131994,144
1494,0.011228085452529188,0.011330204257108952,181944,153
1881,0.010510913904310887,0.010582538325469635,123687,108
2081,0.010721596862361153,0.010832334913656252,138969,117
1263,0.012158782088688093,0.01216928484139984,17847,18
1441,0.011874759816692386,0.011686600175274035,242370,216
0382,0.016972274103494157,0.017558215563343468,100764,90
1880,0.016697922753998402,0.01900349816032645,283329,315
1491,0.010228893805700594,0.010032491345359924,109602,90
1482,0.010750413690658602,0.010914263952419258,283077,252
0181,0.017033274890456286,0.01852577696685804,306918,351
0562,0.014608000503671897,0.014765418555503573,48609,90
2183,0.011777551672332418,0.012093777249958079,149652,153
0380,0.014588983085889193,0.015080580508254572,739998,828
0883,0.013573277220755615,0.013739863442071381,117693,117
0138,0.014093940884414125,0.014219461815123347,264357,225
2039,0.02142533780568206,0.021978911101208167,38439,54
1466,0.011126110657835774,0.011139056429031643,50841,45
1470,0.012700526802309462,0.012593410878579191,61263,54
1489,0.01208367651475236,0.012137096869376253,243135,216
1445,0.010128383775257117,0.010324845862289374,31131,27
0642,0.012970536699201585,0.012732777553403102,41760,36
1260,0.01382218071240632,0.01416303216750621,74304,99
0682,0.012111407525069263,0.012111407525069263,11187,9
2104,0.01690450159067064,0.01703753464213604,48195,45
2480,0.014203957332457906,0.014583636276562605,205191,171
1460,0.009731357853665388,0.009779048248630655,49644,45
1447,0.011092848286740509,0.011704134105905288,26118,27
1864,0.016158283439605733,0.017811716686456584,22284,45
0764,0.01119630804288304,0.01185346453853416,106488,99
2505,0.021150281912979647,0.020966572177071787,34920,27
0482,0.011404649081859739,0.01111868363577317,58572,63
1276,0.010015781217927728,0.010242836307867745,63225,63
0162,0.01719555951915628,0.01705609412947059,184212,180
1443,0.009040150693706634,0.009987212133296975,53451,45
1498,0.01560030190846451,0.015592424712131224,73089,63
0884,0.014051929178483462,0.016525198071556092,87237,117
1315,0.012402458356512807,0.01289010717308083,50247,72
1287,0.01369572080954717,0.01389741611353055,251253,243
1381,0.011844416664334048,0.011669339858803482,148149,126
1765,0.016588565619276206,0.01708450145559034,47205,54
1283,0.013830560163878774,0.01384643180880435,306225,315
1282,0.013198827384328425,0.015398565387418081,93015,99
1761,0.009707243818732931,0.009657144392302003,94104,81
2283,0.019355368333552468,0.020197648513064853,105399,153
1275,0.014266170889825841,0.01422909350677661,31527,45
0584,0.010446052891702206,0.010817015564014392,46395,45
1766,0.016720766046095546,0.016905485567519397,75582,99
2282,0.017202391092850315,0.016983234849011666,35154,45
0834,0.014885816545505078,0.015375034221126984,41697,45
0643,0.011582863855514297,0.011660197881328544,38412,36
0840,0.010863214135141437,0.011904252697591083,96840,90
2309,0.019831019173750634,0.019950085261243963,85905,90
