model,grouping,feature_set,weighted_mae,improvement_vs_proportional,relative_improvement
ridge,municipality_id,previous_vote_shares,0.011433503564072094,0.0032581835487634405,0.22177055117903355
ridge,municipality_id,previous_shares_plus_turnout_entropy_size,0.011041364267872332,0.003650322844963203,0.24846178773941238
ridge,municipality_id,previous_shares_plus_context_and_geography,0.011271832993479992,0.0034198541193555428,0.2327747720932441
ridge,county_id,previous_vote_shares,0.011790125104515636,0.0029015620083198985,0.19749685560516198
ridge,county_id,previous_shares_plus_turnout_entropy_size,0.011311667284553644,0.0033800198282818907,0.2300634230992371
ridge,county_id,previous_shares_plus_context_and_geography,0.012794228885941157,0.0018974582268943777,0.12915182662967584
