previous_largest_party,weighted_mae,unweighted_mae,valid_votes,districts
SD,0.012167877118900366,0.01270901444298908,496001,506
MP,0.02519337531662174,0.02519337531662174,585,1
C,0.021161382098291805,0.021536291277120194,17229,23
V,0.018569929335229562,0.018799662909893235,41238,44
M,0.015881193922514553,0.016061400516827584,983285,883
KD,0.015506567745755248,0.015508336781260287,11082,9
S,0.014614634487309144,0.015598744933305812,2652515,2698
