district_size,weighted_mae,unweighted_mae,valid_votes,districts
Q1,0.017045372477791053,0.017783323612318633,564777,834
Q2,0.01587227642918887,0.01632574221352966,746030,838
Q3,0.015017406264767401,0.015516554025164355,841968,829
Q4,0.013909821282755455,0.014119102054373906,951731,838
Q5,0.013105997686341086,0.01330713380883535,1097429,825
