county_id,weighted_mae,unweighted_mae,party_observation_weight,observations
25,0.01537138985860327,0.015719776687546223,851994,873
21,0.01318146236878423,0.013420472093966712,1392777,1197
01,0.017703452777308688,0.01850970491263046,8639667,8658
06,0.012445628969866583,0.012751142103793234,1388394,1305
24,0.015880051632233726,0.01726774789168481,859455,927
09,0.014708640646379707,0.015289765786729585,336528,333
03,0.014583587548819044,0.015021718531901361,1306485,1350
22,0.01718478554675396,0.018068479446991515,849609,945
19,0.012900726657716905,0.013366613647687639,1444428,1395
18,0.013993197935049323,0.015113598881309772,1056843,1125
20,0.013334617205333727,0.013933514848687075,1352628,1278
13,0.012325266400384107,0.012332695091891523,775053,684
05,0.012528280296783921,0.013146239981703483,1462167,1494
07,0.012474773621412576,0.013258391831910191,625284,603
14,0.01244770647759152,0.012883447246878219,5461776,5211
10,0.011714603252406782,0.011924478586730588,710919,657
08,0.012905442271696264,0.013646353916664829,1222731,1287
12,0.015580333156594336,0.016533247432063018,5102766,5103
04,0.012212805199016847,0.012609910194025742,962316,990
23,0.017279253664364426,0.017689781731507516,622431,639
17,0.014662532034729068,0.01569389430123766,1393164,1422
