election_year,checkpoint,checkpoint_at,reported_district_share,valu_to_count_weight,count_to_raw_weight,raw_mae,calibrated_valu_mae,proportional_count_mae,combined_mae,combined_V,combined_S,combined_MP,combined_C,combined_L,combined_M,combined_KD,combined_SD,combined_OTHER
2018,20:45,2018-09-09T20:45:00.000000,0.002498334443704197,0.04758883248730964,6.2729404918754815e-6,0.019355315826461838,0.00952044971367763,0.010202390468164377,0.009033184647052599,0.08570523320908459,0.2643175406174485,0.038502359708449674,0.08543600514019167,0.052870416533954925,0.18430620172926002,0.0725751007143083,0.19981465988574051,0.016472482461561664
2018,21:00,2018-09-09T21:00:00.000000,0.015323117921385743,0.23457419683834776,0.00024210382272325155,0.01877473850481272,0.00952044971367763,0.007542521431978749,0.00787325360228932,0.08396239560293475,0.2657074814603624,0.039742384256752826,0.08187062677362586,0.05394014276678445,0.18939157817321403,0.0724246858783963,0.1953266134989132,0.017634091589016052
2018,21:15,2018-09-09T21:15:00.000000,0.05396402398401066,0.5190644024351169,0.0032432656882658635,0.011519876952660862,0.00952044971367763,0.005347790897605353,0.006204192055337382,0.08261670709787787,0.2689427010267659,0.04086121653401362,0.07895344494646003,0.05538970187063111,0.19450967352513443,0.07047172374634675,0.19040191006581048,0.017852921186959796
2018,21:30,2018-09-09T21:30:00.000000,0.14440373084610258,0.7428032899246059,0.027696253320411906,0.007361304176259847,0.00952044971367763,0.0030520740075217828,0.003827992848504521,0.08209318375916658,0.27547624293341777,0.043099890534256446,0.07883304604006189,0.05540972236738598,0.19655075295538574,0.06776368468276855,0.18396046605492597,0.016813010672631058
2018,21:45,2018-09-09T21:45:00.000000,0.3031312458361093,0.8584095840015094,0.15911035006966967,0.0029548160547060837,0.00952044971367763,0.0019390426862387058,0.0022953082498052535,0.08055499010228576,0.2794780186932167,0.04359545346384658,0.08144063964021904,0.05507691315282998,0.19634290135998628,0.06587772625734659,0.1814372566295844,0.01619610070068475
2018,22:00,2018-09-09T22:00:00.000000,0.4890073284477015,0.9072368827637353,0.47802527849376014,0.001726395805401872,0.00952044971367763,0.0011161614023773028,0.0016715848302982829,0.0809658885514343,0.28030997586889067,0.043946184580042465,0.08472102758712874,0.05449782033017325,0.19508471453846415,0.06497161709855549,0.18011282051862004,0.015389950926690871
2018,22:15,2018-09-09T22:15:00.000000,0.6449033977348434,0.9280475528498153,0.767352407189179,0.0011939803352628466,0.00952044971367763,0.0010525643291957028,0.001373509398599859,0.0811659345751496,0.2802004798855846,0.04414440247418348,0.08595698093804888,0.054714864701624184,0.19510812089713478,0.06446456898433404,0.17915990159957498,0.015084745944365416
2018,22:30,2018-09-09T22:30:00.000000,0.7621585609593604,0.9384356671178377,0.9112586470405972,0.0009059122264841378,0.00952044971367763,0.0009202187787788561,0.0012626718046928774,0.08099279437810893,0.2801877924469941,0.043907691379296516,0.08637854739911441,0.05493126991764124,0.1956802019496609,0.06427749688101589,0.1786868127769827,0.014957392871185282
2018,23:00,2018-09-09T23:00:00.000000,0.8980679546968687,0.9472611644004075,0.9872812634303588,0.0005177946381939077,0.00952044971367763,0.0009326813359044939,0.0008773043446851404,0.07995105013630563,0.2814560040761877,0.04356134764803608,0.08612485011705356,0.05494802933050176,0.1967529397174059,0.06415769936175506,0.17825339888284714,0.014794680729907124
2018,00:00,2018-09-10T00:00:00.000000,0.97618254497002,0.951275725508018,0.9994050640976592,0.0005668444430079286,0.00952044971367763,0.0009036502440841359,0.0007058016164631525,0.07961062891592761,0.2825573884457299,0.04324982059685553,0.08604565542236446,0.05487436278691175,0.1971873114409909,0.06417745155510762,0.17756135523146166,0.014736025604650541
