transition_id,model,county_id,weighted_mae,weighted_observations
2014_2018,T_nat,03,0.021695623962,1779867
2014_2018,T_nat,04,0.015440704480,1463958
2014_2018,T_nat,05,0.016902099199,2233953
2014_2018,T_nat,06,0.019931745762,1481373
2014_2018,T_nat,07,0.018337258157,935028
2014_2018,T_nat,08,0.017941811643,1328310
2014_2018,T_nat,09,0.021205727190,359001
2014_2018,T_nat,10,0.015992167973,921339
2014_2018,T_nat,12,0.018731892690,6115473
2014_2018,T_nat,13,0.018123426476,1513503
2014_2018,T_nat,14,0.018479239813,5829759
2014_2018,T_nat,17,0.017951641486,1433583
2014_2018,T_nat,18,0.019148703869,1067310
2014_2018,T_nat,19,0.016877558838,1208376
2014_2018,T_nat,20,0.017329515211,1479222
2014_2018,T_nat,21,0.017835014599,1362168
2014_2018,T_nat,22,0.020656199926,1180278
2014_2018,T_nat,23,0.019875371253,654390
2014_2018,T_nat,24,0.018498173898,1353519
2014_2018,T_nat,25,0.016186486344,1298214
2018_2022,B2_national,01,0.023234126606,8639667
2018_2022,B2_national,03,0.021625322529,1306485
2018_2022,B2_national,04,0.020066053509,962316
2018_2022,B2_national,05,0.020622527534,1462167
2018_2022,B2_national,06,0.018561914536,1388394
2018_2022,B2_national,07,0.019095937587,625284
2018_2022,B2_national,08,0.020384105681,1222731
2018_2022,B2_national,09,0.020362535100,336528
2018_2022,B2_national,10,0.018552965361,710919
2018_2022,B2_national,12,0.020449090816,5102766
2018_2022,B2_national,13,0.019039612629,775053
2018_2022,B2_national,14,0.019098364358,5461776
2018_2022,B2_national,17,0.022501594518,1393164
2018_2022,B2_national,18,0.022484616467,1056843
2018_2022,B2_national,19,0.019772431393,1444428
2018_2022,B2_national,20,0.022344102496,1352628
2018_2022,B2_national,21,0.020269423787,1392777
2018_2022,B2_national,22,0.025566153784,849609
2018_2022,B2_national,23,0.024976406409,622431
2018_2022,B2_national,24,0.023120844299,859455
2018_2022,B2_national,25,0.023663249764,851994
2018_2022,B2_region,01,0.025569333473,8639667
2018_2022,B2_region,03,0.020993988655,1306485
2018_2022,B2_region,04,0.019006320158,962316
2018_2022,B2_region,05,0.019943799677,1462167
2018_2022,B2_region,06,0.015466400778,1388394
2018_2022,B2_region,07,0.015213052302,625284
2018_2022,B2_region,08,0.016291003972,1222731
2018_2022,B2_region,09,0.017826151729,336528
2018_2022,B2_region,10,0.028584100136,710919
2018_2022,B2_region,12,0.027595464120,5102766
2018_2022,B2_region,13,0.022002278929,775053
2018_2022,B2_region,14,0.021766681637,5461776
2018_2022,B2_region,17,0.023975835182,1393164
2018_2022,B2_region,18,0.019459447940,1056843
2018_2022,B2_region,19,0.018221621476,1444428
2018_2022,B2_region,20,0.024018118659,1352628
2018_2022,B2_region,21,0.021497747377,1392777
2018_2022,B2_region,22,0.016564391962,849609
2018_2022,B2_region,23,0.019393514927,622431
2018_2022,B2_region,24,0.015059306886,859455
2018_2022,B2_region,25,0.013723204557,851994
2018_2022,R1_published_point,01,0.026378073756,8639667
