election_cycle,region_id,party,reconciled_share
2018,0180,C,0.100702281620
2018,0180,KD,0.034189415073
2018,0180,L,0.062764341889
2018,0180,M,0.237800218892
2018,0180,MP,0.045643153490
2018,0180,OTHER,0.048277974588
2018,0180,S,0.235973531396
2018,0180,SD,0.102746128988
2018,0180,V,0.131902954064
2018,SE01exkl0180,C,0.080758992058
2018,SE01exkl0180,KD,0.025138577374
2018,SE01exkl0180,L,0.074717378786
2018,SE01exkl0180,M,0.314726839893
2018,SE01exkl0180,MP,0.036513508351
2018,SE01exkl0180,OTHER,0.024630935376
2018,SE01exkl0180,S,0.212970194094
2018,SE01exkl0180,SD,0.161596218164
2018,SE01exkl0180,V,0.068947355905
2018,SE06,C,0.087718261320
2018,SE06,KD,0.030159449800
2018,SE06,L,0.015936091645
2018,SE06,M,0.198782329341
2018,SE06,MP,0.038533293557
2018,SE06,OTHER,0.027580389751
2018,SE06,S,0.335876773256
2018,SE06,SD,0.186491592022
2018,SE06,V,0.078921819308
2018,SE07+SE08,C,0.086802033787
2018,SE07+SE08,KD,0.029181221235
2018,SE07+SE08,L,0.013957035309
2018,SE07+SE08,M,0.188968670992
2018,SE07+SE08,MP,0.028419332378
2018,SE07+SE08,OTHER,0.017746723317
2018,SE07+SE08,S,0.392220299965
2018,SE07+SE08,SD,0.161709662228
2018,SE07+SE08,V,0.080995020789
2018,SE09,C,0.096870774832
2018,SE09,KD,0.046331214843
2018,SE09,L,0.019957471978
2018,SE09,M,0.194151220687
2018,SE09,MP,0.044701171753
2018,SE09,OTHER,0.022697807074
2018,SE09,S,0.281423727698
2018,SE09,SD,0.226807391385
2018,SE09,V,0.067059219751
2018,SE0A,C,0.091896779209
2018,SE0A,KD,0.033244608282
2018,SE0A,L,0.058886937402
2018,SE0A,M,0.221218831055
2018,SE0A,MP,0.044710582851
2018,SE0A,OTHER,0.026650861503
2018,SE0A,S,0.254436569816
2018,SE0A,SD,0.195874924333
2018,SE0A,V,0.073079905548
2018,SE12,C,0.074763764033
2018,SE12,KD,0.026139547164
2018,SE12,L,0.030877780939
2018,SE12,M,0.215774938815
2018,SE12,MP,0.044619814757
2018,SE12,OTHER,0.032507147334
2018,SE12,S,0.311901771158
2018,SE12,SD,0.194479940626
2018,SE12,V,0.068935295173
2018,SE2,C,0.084738483038
2018,SE2,KD,0.015081614495
2018,SE2,L,0.051798787780
2018,SE2,M,0.221784959140
2018,SE2,MP,0.053750538643
2018,SE2,OTHER,0.031524395160
2018,SE2,S,0.275933350065
2018,SE2,SD,0.220426771753
2018,SE2,V,0.044961099927
2022,0180,C,0.071896895659
2022,0180,KD,0.028118128041
2022,0180,L,0.049618296064
2022,0180,M,0.169330827061
2022,0180,MP,0.062753482123
2022,0180,OTHER,0.024437699086
2022,0180,S,0.339835642693
2022,0180,SD,0.118200400090
2022,0180,V,0.135808629182
2022,SE01exkl0180,C,0.065811555372
2022,SE01exkl0180,KD,0.066183980792
2022,SE01exkl0180,L,0.039435826748
2022,SE01exkl0180,M,0.283149850952
2022,SE01exkl0180,MP,0.026856018098
2022,SE01exkl0180,OTHER,0.026355098588
2022,SE01exkl0180,S,0.312323310473
2022,SE01exkl0180,SD,0.127034369685
2022,SE01exkl0180,V,0.052849989292
2022,SE06,C,0.062807836273
2022,SE06,KD,0.037095885057
2022,SE06,L,0.020219546098
2022,SE06,M,0.200066770102
2022,SE06,MP,0.014917092378
2022,SE06,OTHER,0.010735162667
2022,SE06,S,0.389326952268
2022,SE06,SD,0.204015304061
2022,SE06,V,0.060815451098
2022,SE07+SE08,C,0.085749393034
2022,SE07+SE08,KD,0.049133693663
2022,SE07+SE08,L,0.020222308089
2022,SE07+SE08,M,0.153071985915
2022,SE07+SE08,MP,0.037795129469
2022,SE07+SE08,OTHER,0.006832400330
2022,SE07+SE08,S,0.400390883656
2022,SE07+SE08,SD,0.167035342247
2022,SE07+SE08,V,0.079768863597
2022,SE09,C,0.080753918259
2022,SE09,KD,0.080208298289
2022,SE09,L,0.034373648027
2022,SE09,M,0.170058830800
2022,SE09,MP,0.018895214366
2022,SE09,OTHER,0.019518715876
2022,SE09,S,0.336286511726
2022,SE09,SD,0.222019365009
2022,SE09,V,0.037885497647
2022,SE0A,C,0.065755055613
2022,SE0A,KD,0.065125234617
2022,SE0A,L,0.040412277711
2022,SE0A,M,0.218927849550
2022,SE0A,MP,0.034783469241
2022,SE0A,OTHER,0.024381919000
2022,SE0A,S,0.300053056109
2022,SE0A,SD,0.156907666246
2022,SE0A,V,0.093653471914
2022,SE12,C,0.057837559943
2022,SE12,KD,0.051144963795
2022,SE12,L,0.029325679950
2022,SE12,M,0.226132034799
2022,SE12,MP,0.038794147567
2022,SE12,OTHER,0.017571026582
2022,SE12,S,0.320349118507
2022,SE12,SD,0.182059209949
2022,SE12,V,0.076786258907
2022,SE2,C,0.059775492512
2022,SE2,KD,0.032060672028
2022,SE2,L,0.032328832018
2022,SE2,M,0.227917903915
2022,SE2,MP,0.025838357216
2022,SE2,OTHER,0.022430678485
2022,SE2,S,0.329048106956
2022,SE2,SD,0.195878730566
2022,SE2,V,0.074721226303
