transition_id,election_cycle,model,district_weighted_mae,district_unweighted_mae,national_mae,observations,districts
2014_2018,2018,B2_national,0.019775019265,0.020059694436,0.011163810186,41679,4631
2014_2018,2018,B2_region,0.021070640795,0.021258720141,0.011374426425,41679,4631
2014_2018,2018,R1_published_point,0.020438263010,0.020781939429,0.011413759152,41679,4631
2014_2018,2018,R1_region_transition,0.020436325119,0.020779965062,0.011413467990,41679,4631
2014_2018,2018,R1_suppressed_zero,0.020436312726,0.020779965877,0.011413336961,41679,4631
2014_2018,2018,T_nat,0.018983504928,0.019376826515,0.011227475354,41679,4631
2018_2022,2022,B2_national,0.021259229655,0.021860691231,0.014999584465,37476,4164
2018_2022,2022,B2_region,0.022298258464,0.022820991558,0.015091805465,37476,4164
2018_2022,2022,R1_published_point,0.022196458106,0.022578037102,0.015482816587,37476,4164
2018_2022,2022,R1_region_transition,0.022193352701,0.022574918571,0.015482339532,37476,4164
2018_2022,2022,R1_suppressed_zero,0.022701528145,0.023064192963,0.015453999382,37476,4164
2018_2022,2022,T_nat,0.020263695575,0.020855374919,0.015305907225,37476,4164
