election_cycle,region_id,party,previous_share
2018,0180,C,0.048827404708
2018,0180,KD,0.042750166648
2018,0180,L,0.078545271961
2018,0180,M,0.277312510280
2018,0180,MP,0.111488750184
2018,0180,OTHER,0.081282626198
2018,0180,S,0.216065724204
2018,0180,SD,0.066409841317
2018,0180,V,0.077317704501
2018,SE01exkl0180,C,0.050900620915
2018,SE01exkl0180,KD,0.052986475965
2018,SE01exkl0180,L,0.070356388095
2018,SE01exkl0180,M,0.326639143151
2018,SE01exkl0180,MP,0.077972245304
2018,SE01exkl0180,OTHER,0.036955227396
2018,SE01exkl0180,S,0.240433397235
2018,SE01exkl0180,SD,0.097011888327
2018,SE01exkl0180,V,0.046744613613
2018,SE06,C,0.072907867895
2018,SE06,KD,0.035641949272
2018,SE06,L,0.037640121852
2018,SE06,M,0.186529410376
2018,SE06,MP,0.050840776526
2018,SE06,OTHER,0.030686481273
2018,SE06,S,0.375776335460
2018,SE06,SD,0.151406985975
2018,SE06,V,0.058570071371
2018,SE07+SE08,C,0.067398626214
2018,SE07+SE08,KD,0.035316934624
2018,SE07+SE08,L,0.035391856042
2018,SE07+SE08,M,0.146338556264
2018,SE07+SE08,MP,0.051568071216
2018,SE07+SE08,OTHER,0.035946955636
2018,SE07+SE08,S,0.447698039443
2018,SE07+SE08,SD,0.098775375373
2018,SE07+SE08,V,0.081565585187
2018,SE09,C,0.088208470014
2018,SE09,KD,0.069592974508
2018,SE09,L,0.035495211897
2018,SE09,M,0.207429281711
2018,SE09,MP,0.053228107854
2018,SE09,OTHER,0.026321692826
2018,SE09,S,0.330625468881
2018,SE09,SD,0.145544343272
2018,SE09,V,0.043554449037
2018,SE0A,C,0.063951337439
2018,SE0A,KD,0.049639288528
2018,SE0A,L,0.059868217524
2018,SE0A,M,0.237214038087
2018,SE0A,MP,0.070550029182
2018,SE0A,OTHER,0.043562847037
2018,SE0A,S,0.286069552571
2018,SE0A,SD,0.128976676543
2018,SE0A,V,0.060168013089
2018,SE12,C,0.059110529262
2018,SE12,KD,0.046183984594
2018,SE12,L,0.050835301819
2018,SE12,M,0.216017303697
2018,SE12,MP,0.066430448435
2018,SE12,OTHER,0.036158465435
2018,SE12,S,0.334129265447
2018,SE12,SD,0.137352837939
2018,SE12,V,0.053781863373
2018,SE2,C,0.048486357100
2018,SE2,KD,0.033863328748
2018,SE2,L,0.054629384742
2018,SE2,M,0.241232739404
2018,SE2,MP,0.066195345612
2018,SE2,OTHER,0.038658401879
2018,SE2,S,0.292911737317
2018,SE2,SD,0.179609104305
2018,SE2,V,0.044413600894
2022,0180,C,0.090686282530
2022,0180,KD,0.048716799246
2022,0180,L,0.078513627157
2022,0180,M,0.218798572004
2022,0180,MP,0.076969139701
2022,0180,OTHER,0.019047587884
2022,0180,S,0.237636737859
2022,0180,SD,0.098387450385
2022,0180,V,0.131243803235
2022,SE01exkl0180,C,0.085623737011
2022,SE01exkl0180,KD,0.069793664290
2022,SE01exkl0180,L,0.069353190247
2022,SE01exkl0180,M,0.260123848050
2022,SE01exkl0180,MP,0.047902472421
2022,SE01exkl0180,OTHER,0.014930720427
2022,SE01exkl0180,S,0.230572824837
2022,SE01exkl0180,SD,0.152418742355
2022,SE01exkl0180,V,0.069280800362
2022,SE06,C,0.094561235437
2022,SE06,KD,0.059132840335
2022,SE06,L,0.040288407373
2022,SE06,M,0.161234360592
2022,SE06,MP,0.032369583392
2022,SE06,OTHER,0.013622027750
2022,SE06,S,0.328982824010
2022,SE06,SD,0.194610391707
2022,SE06,V,0.075198329404
2022,SE07+SE08,C,0.099408999577
2022,SE07+SE08,KD,0.050613148201
2022,SE07+SE08,L,0.034415795493
2022,SE07+SE08,M,0.134589440815
2022,SE07+SE08,MP,0.031906275316
2022,SE07+SE08,OTHER,0.014632692143
2022,SE07+SE08,S,0.389403424737
2022,SE07+SE08,SD,0.142257793408
2022,SE07+SE08,V,0.102772430310
2022,SE09,C,0.103651399011
2022,SE09,KD,0.090151274043
2022,SE09,L,0.037860766026
2022,SE09,M,0.177993789367
2022,SE09,MP,0.032550980593
2022,SE09,OTHER,0.012653220485
2022,SE09,S,0.293145827602
2022,SE09,SD,0.193790086363
2022,SE09,V,0.058202656511
2022,SE0A,C,0.084971923027
2022,SE0A,KD,0.068239150825
2022,SE0A,L,0.059731000533
2022,SE0A,M,0.201213194951
2022,SE0A,MP,0.046595973590
2022,SE0A,OTHER,0.015620881176
2022,SE0A,S,0.264780257842
2022,SE0A,SD,0.177314817653
2022,SE0A,V,0.081532800402
2022,SE12,C,0.080265766392
2022,SE12,KD,0.064287229607
2022,SE12,L,0.052530559843
2022,SE12,M,0.192153015018
2022,SE12,MP,0.041211896210
2022,SE12,OTHER,0.015653918463
2022,SE12,S,0.300992509089
2022,SE12,SD,0.179228633713
2022,SE12,V,0.073676471664
2022,SE2,C,0.068010128898
2022,SE2,KD,0.053263520724
2022,SE2,L,0.054721243585
2022,SE2,M,0.209042963126
2022,SE2,MP,0.041124299192
2022,SE2,OTHER,0.015354257355
2022,SE2,S,0.259265062078
2022,SE2,SD,0.236235793289
2022,SE2,V,0.062982731754
