election_cycle,region_id,party,published_share
2018,0180,C,0.100899100899
2018,0180,KD,0.033966033966
2018,0180,L,0.062937062937
2018,0180,M,0.237762237762
2018,0180,MP,0.044955044955
2018,0180,OTHER,0.048951048951
2018,0180,S,0.235764235764
2018,0180,SD,0.102897102897
2018,0180,V,0.131868131868
2018,SE01exkl0180,C,0.080919080919
2018,SE01exkl0180,KD,0.024975024975
2018,SE01exkl0180,L,0.074925074925
2018,SE01exkl0180,M,0.314685314685
2018,SE01exkl0180,MP,0.035964035964
2018,SE01exkl0180,OTHER,0.024975024975
2018,SE01exkl0180,S,0.212787212787
2018,SE01exkl0180,SD,0.161838161838
2018,SE01exkl0180,V,0.068931068931
2018,SE06,C,0.087912087912
2018,SE06,KD,0.029970029970
2018,SE06,L,0.015984015984
2018,SE06,M,0.198801198801
2018,SE06,MP,0.037962037962
2018,SE06,OTHER,0.027972027972
2018,SE06,S,0.335664335664
2018,SE06,SD,0.186813186813
2018,SE06,V,0.078921078921
2018,SE07+SE08,C,0.087000000000
2018,SE07+SE08,KD,0.029000000000
2018,SE07+SE08,L,0.014000000000
2018,SE07+SE08,M,0.189000000000
2018,SE07+SE08,MP,0.028000000000
2018,SE07+SE08,OTHER,0.018000000000
2018,SE07+SE08,S,0.392000000000
2018,SE07+SE08,SD,0.162000000000
2018,SE07+SE08,V,0.081000000000
2018,SE09,C,0.097097097097
2018,SE09,KD,0.046046046046
2018,SE09,L,0.020020020020
2018,SE09,M,0.194194194194
2018,SE09,MP,0.044044044044
2018,SE09,OTHER,0.023023023023
2018,SE09,S,0.281281281281
2018,SE09,SD,0.227227227227
2018,SE09,V,0.067067067067
2018,SE0A,C,0.092092092092
2018,SE0A,KD,0.033033033033
2018,SE0A,L,0.059059059059
2018,SE0A,M,0.221221221221
2018,SE0A,MP,0.044044044044
2018,SE0A,OTHER,0.027027027027
2018,SE0A,S,0.254254254254
2018,SE0A,SD,0.196196196196
2018,SE0A,V,0.073073073073
2018,SE12,C,0.074925074925
2018,SE12,KD,0.025974025974
2018,SE12,L,0.030969030969
2018,SE12,M,0.215784215784
2018,SE12,MP,0.043956043956
2018,SE12,OTHER,0.032967032967
2018,SE12,S,0.311688311688
2018,SE12,SD,0.194805194805
2018,SE12,V,0.068931068931
2018,SE2,C,0.084915084915
2018,SE2,KD,0.014985014985
2018,SE2,L,0.051948051948
2018,SE2,M,0.221778221778
2018,SE2,MP,0.052947052947
2018,SE2,OTHER,0.031968031968
2018,SE2,S,0.275724275724
2018,SE2,SD,0.220779220779
2018,SE2,V,0.044955044955
2022,0180,C,0.072072072072
2022,0180,KD,0.028028028028
2022,0180,L,0.049049049049
2022,0180,M,0.169169169169
2022,0180,MP,0.063063063063
2022,0180,OTHER,0.025025025025
2022,0180,S,0.339339339339
2022,0180,SD,0.118118118118
2022,0180,V,0.136136136136
2022,SE01exkl0180,C,0.066000000000
2022,SE01exkl0180,KD,0.066000000000
2022,SE01exkl0180,L,0.039000000000
2022,SE01exkl0180,M,0.283000000000
2022,SE01exkl0180,MP,0.027000000000
2022,SE01exkl0180,OTHER,0.027000000000
2022,SE01exkl0180,S,0.312000000000
2022,SE01exkl0180,SD,0.127000000000
2022,SE01exkl0180,V,0.053000000000
2022,SE06,C,0.063000000000
2022,SE06,KD,0.037000000000
2022,SE06,L,0.020000000000
2022,SE06,M,0.200000000000
2022,SE06,MP,0.015000000000
2022,SE06,OTHER,0.011000000000
2022,SE06,S,0.389000000000
2022,SE06,SD,0.204000000000
2022,SE06,V,0.061000000000
2022,SE07+SE08,C,0.086000000000
2022,SE07+SE08,KD,0.049000000000
2022,SE07+SE08,L,0.020000000000
2022,SE07+SE08,M,0.153000000000
2022,SE07+SE08,MP,0.038000000000
2022,SE07+SE08,OTHER,0.007000000000
2022,SE07+SE08,S,0.400000000000
2022,SE07+SE08,SD,0.167000000000
2022,SE07+SE08,V,0.080000000000
2022,SE09,C,0.081000000000
2022,SE09,KD,0.080000000000
2022,SE09,L,0.034000000000
2022,SE09,M,0.170000000000
2022,SE09,MP,0.019000000000
2022,SE09,OTHER,0.020000000000
2022,SE09,S,0.336000000000
2022,SE09,SD,0.222000000000
2022,SE09,V,0.038000000000
2022,SE0A,C,0.065934065934
2022,SE0A,KD,0.064935064935
2022,SE0A,L,0.039960039960
2022,SE0A,M,0.218781218781
2022,SE0A,MP,0.034965034965
2022,SE0A,OTHER,0.024975024975
2022,SE0A,S,0.299700299700
2022,SE0A,SD,0.156843156843
2022,SE0A,V,0.093906093906
2022,SE12,C,0.058000000000
2022,SE12,KD,0.051000000000
2022,SE12,L,0.029000000000
2022,SE12,M,0.226000000000
2022,SE12,MP,0.039000000000
2022,SE12,OTHER,0.018000000000
2022,SE12,S,0.320000000000
2022,SE12,SD,0.182000000000
2022,SE12,V,0.077000000000
2022,SE2,C,0.059940059940
2022,SE2,KD,0.031968031968
2022,SE2,L,0.031968031968
2022,SE2,M,0.227772227772
2022,SE2,MP,0.025974025974
2022,SE2,OTHER,0.022977022977
2022,SE2,S,0.328671328671
2022,SE2,SD,0.195804195804
2022,SE2,V,0.074925074925
