wave_id,region_id,party,estimate,margin_error,row_base,cell_status,election_cycle
scb_2018M05_regional_original,SE12,MP,0.044000000000,0.010000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE12,OTHER,0.033000000000,0.010000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE12,S,0.312000000000,0.019000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE12,SD,0.195000000000,0.017000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE12,V,0.069000000000,0.011000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,C,0.085000000000,0.016000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,KD,0.015000000000,0.007000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,L,0.052000000000,0.012000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,M,0.222000000000,0.020000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,MP,0.053000000000,0.010000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,OTHER,0.032000000000,0.011000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,S,0.276000000000,0.023000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,SD,0.221000000000,0.019000000000,,PUBLISHED,2018
scb_2018M05_regional_original,SE2,V,0.045000000000,0.009000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,C,0.087000000000,0.005000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,KD,0.029000000000,0.003000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,L,0.044000000000,0.004000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,M,0.226000000000,0.008000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,MP,0.043000000000,0.004000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,OTHER,0.029000000000,0.004000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,S,0.283000000000,0.008000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,SD,0.185000000000,0.008000000000,,PUBLISHED,2018
scb_2018M05_regional_original,Z01,V,0.074000000000,0.005000000000,,PUBLISHED,2018
scb_2022M05_regional_original,0180,C,0.072000000000,0.028000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,KD,0.028000000000,0.016000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,L,0.049000000000,0.021000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,M,0.169000000000,0.038000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,MP,0.063000000000,0.027000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,OTHER,0.025000000000,0.025000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,S,0.339000000000,0.050000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,SD,0.118000000000,0.036000000000,,PUBLISHED,2022
scb_2022M05_regional_original,0180,V,0.136000000000,0.034000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,C,0.066000000000,0.023000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,KD,0.066000000000,0.024000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,L,0.039000000000,0.015000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,M,0.283000000000,0.042000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,MP,0.027000000000,0.015000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,OTHER,0.027000000000,0.020000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,S,0.312000000000,0.044000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,SD,0.127000000000,0.032000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE01exkl0180,V,0.053000000000,0.021000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,C,0.063000000000,0.026000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,KD,0.037000000000,0.021000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,L,0.020000000000,0.015000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,M,0.200000000000,0.043000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,MP,0.015000000000,0.012000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,OTHER,,,,SUPPRESSED,2022
scb_2022M05_regional_original,SE06,S,0.389000000000,0.055000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,SD,0.204000000000,0.050000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE06,V,0.061000000000,0.025000000000,,PUBLISHED,2022
scb_2022M05_regional_original,SE07+SE08,C,0.086000000000,0.029000000000,,PUBLISHED,2022
