election_year,checkpoint,checkpoint_at,reported_districts,reported_district_share,reported_valid_votes,reported_valid_vote_share,matched_reported_districts,model,mae,max_party_error,largest_party_correct
2018,20:45,2018-09-09T20:45:00.000000,15,0.002498334443704197,4581,0.0007329174321555404,13,B0_raw_reported_share,0.019355315826461838,0.04969122992385416,true
2018,20:45,2018-09-09T20:45:00.000000,15,0.002498334443704197,4581,0.0007329174321555404,13,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,20:45,2018-09-09T20:45:00.000000,15,0.002498334443704197,4581,0.0007329174321555404,13,C1_reported_additive_change,0.01335652615168398,0.031032183645614428,true
2018,20:45,2018-09-09T20:45:00.000000,15,0.002498334443704197,4581,0.0007329174321555404,13,C2_reported_proportional_change,0.010202390468164377,0.025422319485916167,true
2018,21:00,2018-09-09T21:00:00.000000,92,0.015323117921385743,43220,0.006914798388509595,79,B0_raw_reported_share,0.01877473850481272,0.039468262131791915,true
2018,21:00,2018-09-09T21:00:00.000000,92,0.015323117921385743,43220,0.006914798388509595,79,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,21:00,2018-09-09T21:00:00.000000,92,0.015323117921385743,43220,0.006914798388509595,79,C1_reported_additive_change,0.010791648027246888,0.019605880875089174,true
2018,21:00,2018-09-09T21:00:00.000000,92,0.015323117921385743,43220,0.006914798388509595,79,C2_reported_proportional_change,0.007542521431978749,0.019894069779230958,true
2018,21:15,2018-09-09T21:15:00.000000,324,0.05396402398401066,199110,0.03185574981805057,267,B0_raw_reported_share,0.011519876952660862,0.03099636273077258,true
2018,21:15,2018-09-09T21:15:00.000000,324,0.05396402398401066,199110,0.03185574981805057,267,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,21:15,2018-09-09T21:15:00.000000,324,0.05396402398401066,199110,0.03185574981805057,267,C1_reported_additive_change,0.007487808563763434,0.018472395520069684,true
2018,21:15,2018-09-09T21:15:00.000000,324,0.05396402398401066,199110,0.03185574981805057,267,C2_reported_proportional_change,0.005347790897605353,0.01438312506000683,true
2018,21:30,2018-09-09T21:30:00.000000,867,0.14440373084610258,641578,0.1026465182902177,681,B0_raw_reported_share,0.007361304176259847,0.023462336092461483,true
2018,21:30,2018-09-09T21:30:00.000000,867,0.14440373084610258,641578,0.1026465182902177,681,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,21:30,2018-09-09T21:30:00.000000,867,0.14440373084610258,641578,0.1026465182902177,681,C1_reported_additive_change,0.004155930938846448,0.009991706927008404,true
2018,21:30,2018-09-09T21:30:00.000000,867,0.14440373084610258,641578,0.1026465182902177,681,C2_reported_proportional_change,0.0030520740075217828,0.010477389117829944,true
2018,21:45,2018-09-09T21:45:00.000000,1820,0.3031312458361093,1550327,0.24803791395795732,1391,B0_raw_reported_share,0.0029548160547060837,0.01007583468753745,true
2018,21:45,2018-09-09T21:45:00.000000,1820,0.3031312458361093,1550327,0.24803791395795732,1391,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,21:45,2018-09-09T21:45:00.000000,1820,0.3031312458361093,1550327,0.24803791395795732,1391,C1_reported_additive_change,0.0027887538910923806,0.00506082187118545,true
2018,21:45,2018-09-09T21:45:00.000000,1820,0.3031312458361093,1550327,0.24803791395795732,1391,C2_reported_proportional_change,0.0019390426862387058,0.007220559977228008,true
2018,22:00,2018-09-09T22:00:00.000000,2936,0.4890073284477015,2689716,0.43032956645878007,2246,B0_raw_reported_share,0.001726395805401872,0.0052264300422631416,true
2018,22:00,2018-09-09T22:00:00.000000,2936,0.4890073284477015,2689716,0.43032956645878007,2246,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,22:00,2018-09-09T22:00:00.000000,2936,0.4890073284477015,2689716,0.43032956645878007,2246,C1_reported_additive_change,0.0017750726669932301,0.003040019442764219,true
2018,22:00,2018-09-09T22:00:00.000000,2936,0.4890073284477015,2689716,0.43032956645878007,2246,C2_reported_proportional_change,0.0011161614023773028,0.004559754760484772,true
2018,22:15,2018-09-09T22:15:00.000000,3872,0.6449033977348434,3717408,0.5947507368772021,2963,B0_raw_reported_share,0.0011939803352628466,0.0033250597266220316,true
2018,22:15,2018-09-09T22:15:00.000000,3872,0.6449033977348434,3717408,0.5947507368772021,2963,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,22:15,2018-09-09T22:15:00.000000,3872,0.6449033977348434,3717408,0.5947507368772021,2963,C1_reported_additive_change,0.0015895610076224343,0.0027229424933987584,true
2018,22:15,2018-09-09T22:15:00.000000,3872,0.6449033977348434,3717408,0.5947507368772021,2963,C2_reported_proportional_change,0.0010525643291957028,0.00401844469984762,true
2018,22:30,2018-09-09T22:30:00.000000,4576,0.7621585609593604,4516321,0.7225693931696447,3482,B0_raw_reported_share,0.0009059122264841378,0.0021362257976142163,true
2018,22:30,2018-09-09T22:30:00.000000,4576,0.7621585609593604,4516321,0.7225693931696447,3482,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,22:30,2018-09-09T22:30:00.000000,4576,0.7621585609593604,4516321,0.7225693931696447,3482,C1_reported_additive_change,0.0015291858506625712,0.002680513822978736,true
2018,22:30,2018-09-09T22:30:00.000000,4576,0.7621585609593604,4516321,0.7225693931696447,3482,C2_reported_proportional_change,0.0009202187787788561,0.0038049155095318254,true
2018,23:00,2018-09-09T23:00:00.000000,5392,0.8980679546968687,5480810,0.8768786708867949,4135,B0_raw_reported_share,0.0005177946381939077,0.0016737369993627682,true
2018,23:00,2018-09-09T23:00:00.000000,5392,0.8980679546968687,5480810,0.8768786708867949,4135,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,23:00,2018-09-09T23:00:00.000000,5392,0.8980679546968687,5480810,0.8768786708867949,4135,C1_reported_additive_change,0.0016150737134041496,0.0023913926262261326,true
2018,23:00,2018-09-09T23:00:00.000000,5392,0.8980679546968687,5480810,0.8768786708867949,4135,C2_reported_proportional_change,0.0009326813359044939,0.0032079627327439852,true
2018,00:00,2018-09-10T00:00:00.000000,5861,0.97618254497002,6065880,0.970484434264058,4506,B0_raw_reported_share,0.0005668444430079286,0.0010396575392325469,true
2018,00:00,2018-09-10T00:00:00.000000,5861,0.97618254497002,6065880,0.970484434264058,4506,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,00:00,2018-09-10T00:00:00.000000,5861,0.97618254497002,6065880,0.970484434264058,4506,C1_reported_additive_change,0.0016061132972571798,0.0025681222425310013,true
2018,00:00,2018-09-10T00:00:00.000000,5861,0.97618254497002,6065880,0.970484434264058,4506,C2_reported_proportional_change,0.0009036502440841359,0.00274055874490306,true
2018,01:00,2018-09-10T01:00:00.000000,5965,0.9935043304463691,6198875,0.9917623984398987,4595,B0_raw_reported_share,0.0006284574338375772,0.0014022116559481712,true
2018,01:00,2018-09-10T01:00:00.000000,5965,0.9935043304463691,6198875,0.9917623984398987,4595,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,01:00,2018-09-10T01:00:00.000000,5965,0.9935043304463691,6198875,0.9917623984398987,4595,C1_reported_additive_change,0.0016416314351557783,0.0027098301993892515,true
2018,01:00,2018-09-10T01:00:00.000000,5965,0.9935043304463691,6198875,0.9917623984398987,4595,C2_reported_proportional_change,0.0009198515345420979,0.0026660585683988963,true
2018,02:00,2018-09-10T02:00:00.000000,5991,0.9978347768154564,6235610,0.9976396570887163,4620,B0_raw_reported_share,0.0006246384813920937,0.0015399397222304323,true
2018,02:00,2018-09-10T02:00:00.000000,5991,0.9978347768154564,6235610,0.9976396570887163,4620,B1_previous_national,0.02506632463170272,0.046772158901963484,true
2018,02:00,2018-09-10T02:00:00.000000,5991,0.9978347768154564,6235610,0.9976396570887163,4620,C1_reported_additive_change,0.0016475619608633798,0.002767687069405167,true
2018,02:00,2018-09-10T02:00:00.000000,5991,0.9978347768154564,6235610,0.9976396570887163,4620,C2_reported_proportional_change,0.0009306609649440251,0.0025764890446440675,true
2022,20:45,2022-09-11T20:45:00.000000,7,0.0011174968071519795,2658,0.0004268351139808734,6,B0_raw_reported_share,0.0270701434955825,0.07288701726180226,true
2022,20:45,2022-09-11T20:45:00.000000,7,0.0011174968071519795,2658,0.0004268351139808734,6,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,20:45,2022-09-11T20:45:00.000000,7,0.0011174968071519795,2658,0.0004268351139808734,6,C1_reported_additive_change,0.011415299053169986,0.031416640146681774,true
2022,20:45,2022-09-11T20:45:00.000000,7,0.0011174968071519795,2658,0.0004268351139808734,6,C2_reported_proportional_change,0.012027474836977674,0.030113305650451838,true
2022,21:00,2022-09-11T21:00:00.000000,51,0.008141762452107279,24452,0.003926626112513287,42,B0_raw_reported_share,0.01852775683712283,0.04901451837296128,true
2022,21:00,2022-09-11T21:00:00.000000,51,0.008141762452107279,24452,0.003926626112513287,42,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,21:00,2022-09-11T21:00:00.000000,51,0.008141762452107279,24452,0.003926626112513287,42,C1_reported_additive_change,0.010730218972471678,0.022133692397224236,true
2022,21:00,2022-09-11T21:00:00.000000,51,0.008141762452107279,24452,0.003926626112513287,42,C2_reported_proportional_change,0.009032474345797252,0.022424858672213,true
2022,21:15,2022-09-11T21:15:00.000000,231,0.036877394636015325,140874,0.02262226104098629,170,B0_raw_reported_share,0.010284611403845385,0.03299321144951611,true
2022,21:15,2022-09-11T21:15:00.000000,231,0.036877394636015325,140874,0.02262226104098629,170,B1_previous_national,0.012781776411671185,0.030021704650847858,true
2022,21:15,2022-09-11T21:15:00.000000,231,0.036877394636015325,140874,0.02262226104098629,170,C1_reported_additive_change,0.007034752914366562,0.01905562385649734,true
2022,21:15,2022-09-11T21:15:00.000000,231,0.036877394636015325,140874,0.02262226104098629,170,C2_reported_proportional_change,0.005645419882072281,0.01902021411038124,true
