election_cycle,previous_party,current_party,prior_mean
2018,C,C,0.758595497103
2018,C,KD,0.010782542682
2018,C,L,0.035537066437
2018,C,M,0.082924968676
2018,C,MP,0.001969804097
2018,C,OTHER,0.005175274151
2018,C,S,0.027336697031
2018,C,SD,0.068840495684
2018,C,V,0.008837654138
2018,KD,C,0.104127836528
2018,KD,KD,0.580935259663
2018,KD,L,0.046072629972
2018,KD,M,0.120459714665
2018,KD,MP,0.004820307570
2018,KD,OTHER,0.009707726056
2018,KD,S,0.021683144770
2018,KD,SD,0.105353757089
2018,KD,V,0.006839623689
2018,L,C,0.100531033759
2018,L,KD,0.013959593694
2018,L,L,0.545678049496
2018,L,M,0.169618328553
2018,L,MP,0.006784838734
2018,L,OTHER,0.008895822492
2018,L,S,0.031199363220
2018,L,SD,0.070701391104
2018,L,V,0.052631578947
2018,M,C,0.078486261048
2018,M,KD,0.014710383693
2018,M,L,0.037215241411
2018,M,M,0.734261571975
2018,M,MP,0.002640995729
2018,M,OTHER,0.002282802499
2018,M,S,0.017650989504
2018,M,SD,0.110771263844
2018,M,V,0.001980490298
2018,MP,C,0.074269825534
2018,MP,KD,0.004638429536
2018,MP,L,0.031059536225
2018,MP,M,0.046211242077
2018,MP,MP,0.504226211667
2018,MP,OTHER,0.032993367596
2018,MP,S,0.187263001909
2018,MP,SD,0.033346977037
2018,MP,V,0.085991408418
2018,OTHER,C,0.034259996149
2018,OTHER,KD,0.004762829224
2018,OTHER,L,0.023428906647
2018,OTHER,M,0.014207124951
2018,OTHER,MP,0.067837719103
2018,OTHER,OTHER,0.456901853868
2018,OTHER,S,0.135958976789
2018,OTHER,SD,0.033994595112
2018,OTHER,V,0.228647998158
2018,S,C,0.015622872831
2018,S,KD,0.003126698034
2018,S,L,0.013241805689
2018,S,M,0.047449584544
2018,S,MP,0.013577070483
2018,S,OTHER,0.005584625383
2018,S,S,0.812172249098
2018,S,SD,0.061673996364
2018,S,V,0.027551097574
2018,SD,C,0.004950495050
2018,SD,KD,0.005169591760
2018,SD,L,0.004014871025
2018,SD,M,0.039799090618
2018,SD,MP,0.001231556979
2018,SD,OTHER,0.006153412085
2018,SD,S,0.018732316758
2018,SD,SD,0.918709354212
2018,SD,V,0.001239311514
2018,V,C,0.007271619814
2018,V,KD,0.001212121212
2018,V,L,0.004285877696
2018,V,M,0.011699278891
2018,V,MP,0.020828850954
2018,V,OTHER,0.011867375975
2018,V,S,0.113517864304
2018,V,SD,0.035927520572
2018,V,V,0.793389490582
2022,C,C,0.691358265692
2022,C,KD,0.033421573390
2022,C,L,0.025820171365
2022,C,M,0.092571018473
2022,C,MP,0.018976089572
2022,C,OTHER,0.005099332245
2022,C,S,0.102125385616
2022,C,SD,0.015477679187
2022,C,V,0.015150484460
2022,KD,C,0.030239806932
2022,KD,KD,0.696765323050
2022,KD,L,0.006706229837
2022,KD,M,0.148021084756
2022,KD,MP,0.005492598645
2022,KD,OTHER,0.002700722849
2022,KD,S,0.030728286373
2022,KD,SD,0.073230734271
2022,KD,V,0.006115213288
2022,L,C,0.118623063293
2022,L,KD,0.063067380594
2022,L,L,0.424388845054
2022,L,M,0.227001472626
2022,L,MP,0.007740808663
2022,L,OTHER,0.006921272115
2022,L,S,0.114463533506
2022,L,SD,0.026845106398
2022,L,V,0.010948517751
2022,M,C,0.024853412873
2022,M,KD,0.073593217264
2022,M,L,0.016086323753
2022,M,M,0.761383127701
2022,M,MP,0.006583750639
2022,M,OTHER,0.002560408437
2022,M,S,0.029519620253
2022,M,SD,0.083416115819
2022,M,V,0.002004023261
2022,MP,C,0.035920211500
2022,MP,KD,0.004273749840
2022,MP,L,0.008557431087
2022,MP,M,0.010682860228
2022,MP,MP,0.668157613661
2022,MP,OTHER,0.008726837277
2022,MP,S,0.153849053687
2022,MP,SD,0.006513941435
2022,MP,V,0.103318301285
2022,OTHER,C,0.042085739147
2022,OTHER,KD,0.031527021322
2022,OTHER,L,0.052631578947
2022,OTHER,M,0.034959897705
2022,OTHER,MP,0.060148355554
2022,OTHER,OTHER,0.451419631463
2022,OTHER,S,0.066377667675
2022,OTHER,SD,0.170062033370
2022,OTHER,V,0.090788074816
2022,S,C,0.013410877635
2022,S,KD,0.005098429442
2022,S,L,0.006221109814
2022,S,M,0.027644982854
2022,S,MP,0.015866942606
2022,S,OTHER,0.002094190298
2022,S,S,0.846431026267
2022,S,SD,0.032639111452
2022,S,V,0.050593329634
2022,SD,C,0.001483142011
2022,SD,KD,0.031310000893
2022,SD,L,0.001593966862
2022,SD,M,0.053615618699
2022,SD,MP,0.000915492958
2022,SD,OTHER,0.007810856034
2022,SD,S,0.021566694799
2022,SD,SD,0.876518239188
2022,SD,V,0.005185988556
2022,V,C,0.008603376399
2022,V,KD,0.006868816610
2022,V,L,0.001661249549
2022,V,M,0.006868816610
2022,V,MP,0.023326224048
2022,V,OTHER,0.006868816610
2022,V,S,0.105883805879
2022,V,SD,0.015435061628
2022,V,V,0.824483832669
