wave_id,matrix_stage,previous_party,current_party,probability,election_cycle
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,OTHER,S,0.152454290019,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,OTHER,SD,0.035637134551,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,OTHER,V,0.259661591430,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,C,0.017561191367,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,KD,0.003108985672,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,L,0.010846956156,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,M,0.043967960561,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,MP,0.017317460144,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,OTHER,0.008825621126,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,S,0.785434745724,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,SD,0.079016854583,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,S,V,0.033920224668,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,C,0.002610323022,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,KD,0.004839772389,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,L,0.002396673507,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,M,0.051092715493,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,MP,0.000149800399,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,OTHER,0.011508124635,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,S,0.007981117666,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,SD,0.912486846424,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,SD,V,0.006934626466,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,C,0.020044478875,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,KD,0.003208185860,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,L,0.001202597485,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,M,0.012072312401,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,MP,0.027303430679,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,OTHER,0.027990115070,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,S,0.116070708318,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,SD,0.035708533331,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,V,V,0.756399637981,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,C,0.693311092168,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,KD,0.010366211606,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,L,0.036710941188,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,C,M,0.124602723349,2018
