transition_id,model,county_id,weighted_mae,weighted_observations
2014_2018,T1_published_point_raked,04,0.015441420412,1463958
2014_2018,T1_published_point_raked,05,0.016905120272,2233953
2014_2018,T1_published_point_raked,06,0.019942991080,1481373
2014_2018,T1_published_point_raked,07,0.018340588596,935028
2014_2018,T1_published_point_raked,08,0.017947634936,1328310
2014_2018,T1_published_point_raked,09,0.021213593525,359001
2014_2018,T1_published_point_raked,10,0.015993357993,921339
2014_2018,T1_published_point_raked,12,0.018731290407,6115473
2014_2018,T1_published_point_raked,13,0.018125841639,1513503
2014_2018,T1_published_point_raked,14,0.018482475951,5829759
2014_2018,T1_published_point_raked,17,0.017956679935,1433583
2014_2018,T1_published_point_raked,18,0.019153538342,1067310
2014_2018,T1_published_point_raked,19,0.016878862436,1208376
2014_2018,T1_published_point_raked,20,0.017332521529,1479222
2014_2018,T1_published_point_raked,21,0.017839395120,1362168
2014_2018,T1_published_point_raked,22,0.020668597157,1180278
2014_2018,T1_published_point_raked,23,0.019885748227,654390
2014_2018,T1_published_point_raked,24,0.018497975754,1353519
2014_2018,T1_published_point_raked,25,0.016194106920,1298214
2018_2022,B2_poll_state,01,0.023234126606,8639667
2018_2022,B2_poll_state,03,0.021625322529,1306485
2018_2022,B2_poll_state,04,0.020066053509,962316
2018_2022,B2_poll_state,05,0.020622527534,1462167
2018_2022,B2_poll_state,06,0.018561914536,1388394
2018_2022,B2_poll_state,07,0.019095937587,625284
2018_2022,B2_poll_state,08,0.020384105681,1222731
2018_2022,B2_poll_state,09,0.020362535100,336528
2018_2022,B2_poll_state,10,0.018552965361,710919
2018_2022,B2_poll_state,12,0.020449090816,5102766
2018_2022,B2_poll_state,13,0.019039612629,775053
2018_2022,B2_poll_state,14,0.019098364358,5461776
2018_2022,B2_poll_state,17,0.022501594518,1393164
2018_2022,B2_poll_state,18,0.022484616467,1056843
2018_2022,B2_poll_state,19,0.019772431393,1444428
2018_2022,B2_poll_state,20,0.022344102496,1352628
2018_2022,B2_poll_state,21,0.020269423787,1392777
2018_2022,B2_poll_state,22,0.025566153784,849609
2018_2022,B2_poll_state,23,0.024976406409,622431
2018_2022,B2_poll_state,24,0.023120844299,859455
2018_2022,B2_poll_state,25,0.023663249764,851994
2018_2022,T1_no_point_shrinkage_raked,01,0.021219429913,8639667
2018_2022,T1_no_point_shrinkage_raked,03,0.022346067393,1306485
2018_2022,T1_no_point_shrinkage_raked,04,0.018157167745,962316
2018_2022,T1_no_point_shrinkage_raked,05,0.019962987357,1462167
