previous_party,held_out_year,wave_id,kappa,n_eff,log_score,weighted_kl,election_cycle
C,2015,scb_2015M11_original,0.000000000000,303.059606646679,-665.890016121931,284.838618565100,2018
C,2015,scb_2015M11_original,2.000000000000,303.059606646679,-410.932974132927,52.022384173995,2018
C,2015,scb_2015M11_original,5.000000000000,303.059606646679,-405.004471911993,52.022384173995,2018
C,2015,scb_2015M11_original,10.000000000000,303.059606646679,-401.159309848876,52.022384173995,2018
C,2015,scb_2015M11_original,20.000000000000,303.059606646679,-398.114403573465,52.022384173995,2018
C,2015,scb_2015M11_original,50.000000000000,303.059606646679,-395.929496048804,52.022384173995,2018
C,2015,scb_2015M11_original,100.000000000000,303.059606646679,-396.320712768043,52.022384173995,2018
C,2016,scb_2016M05_original,0.000000000000,292.000000000000,-641.589576582176,286.710967317496,2018
C,2016,scb_2016M05_original,2.000000000000,292.000000000000,-382.930315744978,49.079442562888,2018
C,2016,scb_2016M05_original,5.000000000000,292.000000000000,-377.383226825294,49.079442562888,2018
C,2016,scb_2016M05_original,10.000000000000,292.000000000000,-374.032294100510,49.079442562888,2018
C,2016,scb_2016M05_original,20.000000000000,292.000000000000,-371.721629049898,49.079442562888,2018
C,2016,scb_2016M05_original,50.000000000000,292.000000000000,-370.886464202214,49.079442562888,2018
C,2016,scb_2016M05_original,100.000000000000,292.000000000000,-372.419706575664,49.079442562888,2018
C,2016,scb_2016M11_original,0.000000000000,305.000000000000,-670.153496087547,405.613416333102,2018
C,2016,scb_2016M11_original,2.000000000000,305.000000000000,-290.694475240147,21.048863920896,2018
C,2016,scb_2016M11_original,5.000000000000,305.000000000000,-285.055675580928,21.048863920896,2018
C,2016,scb_2016M11_original,10.000000000000,305.000000000000,-281.555445558328,21.048863920896,2018
C,2016,scb_2016M11_original,20.000000000000,305.000000000000,-278.953687043136,21.048863920896,2018
C,2016,scb_2016M11_original,50.000000000000,305.000000000000,-277.275309748896,21.048863920896,2018
C,2016,scb_2016M11_original,100.000000000000,305.000000000000,-277.492436669141,21.048863920896,2018
C,2017,scb_2017M05_original,0.000000000000,319.172933333333,-701.294613540495,385.877704078064,2018
C,2017,scb_2017M05_original,2.000000000000,319.172933333333,-343.748549955675,39.248915307674,2018
C,2017,scb_2017M05_original,5.000000000000,319.172933333333,-337.781195406341,39.248915307674,2018
C,2017,scb_2017M05_original,10.000000000000,319.172933333333,-333.844311584656,39.248915307674,2018
C,2017,scb_2017M05_original,20.000000000000,319.172933333333,-330.596136788701,39.248915307674,2018
C,2017,scb_2017M05_original,50.000000000000,319.172933333333,-327.816150526501,39.248915307674,2018
C,2017,scb_2017M05_original,100.000000000000,319.172933333333,-327.341841986832,39.248915307674,2018
KD,2015,scb_2015M11_original,0.000000000000,191.119600000000,-419.932682330667,155.038992953343,2018
KD,2015,scb_2015M11_original,2.000000000000,191.119600000000,-288.848579117913,17.292794087080,2018
KD,2015,scb_2015M11_original,5.000000000000,191.119600000000,-283.315881040282,17.292794087080,2018
KD,2015,scb_2015M11_original,10.000000000000,191.119600000000,-279.808420928729,17.292794087080,2018
KD,2015,scb_2015M11_original,20.000000000000,191.119600000000,-277.073073479502,17.292794087080,2018
KD,2015,scb_2015M11_original,50.000000000000,191.119600000000,-275.018592183159,17.292794087080,2018
KD,2015,scb_2015M11_original,100.000000000000,191.119600000000,-274.857540258995,17.292794087080,2018
KD,2016,scb_2016M05_original,0.000000000000,181.984632558140,-399.861107354245,137.167448428525,2018
KD,2016,scb_2016M05_original,2.000000000000,181.984632558140,-288.130494776009,14.466484800758,2018
KD,2016,scb_2016M05_original,5.000000000000,181.984632558140,-282.495308959436,14.466484800758,2018
KD,2016,scb_2016M05_original,10.000000000000,181.984632558140,-278.841790837020,14.466484800758,2018
KD,2016,scb_2016M05_original,20.000000000000,181.984632558140,-275.869098000815,14.466484800758,2018
KD,2016,scb_2016M05_original,50.000000000000,181.984632558140,-273.307041132600,14.466484800758,2018
KD,2016,scb_2016M05_original,100.000000000000,181.984632558140,-272.599644459424,14.466484800758,2018
KD,2016,scb_2016M11_original,0.000000000000,196.000000000000,-430.656017157899,138.581869092203,2018
KD,2016,scb_2016M11_original,2.000000000000,196.000000000000,-317.739610401950,14.655963430685,2018
KD,2016,scb_2016M11_original,5.000000000000,196.000000000000,-312.055956799847,14.655963430685,2018
KD,2016,scb_2016M11_original,10.000000000000,196.000000000000,-308.328879579426,14.655963430685,2018
KD,2016,scb_2016M11_original,20.000000000000,196.000000000000,-305.231961623070,14.655963430685,2018
KD,2016,scb_2016M11_original,50.000000000000,196.000000000000,-302.423350540577,14.655963430685,2018
KD,2016,scb_2016M11_original,100.000000000000,196.000000000000,-301.525951006774,14.655963430685,2018
KD,2017,scb_2017M05_original,0.000000000000,195.313748505919,-429.148168508870,146.898074733411,2018
KD,2017,scb_2017M05_original,2.000000000000,195.313748505919,-308.690794436631,26.692857115206,2018
KD,2017,scb_2017M05_original,5.000000000000,195.313748505919,-303.147830710885,26.692857115206,2018
KD,2017,scb_2017M05_original,10.000000000000,195.313748505919,-299.687434010864,26.692857115206,2018
KD,2017,scb_2017M05_original,20.000000000000,195.313748505919,-297.121763655630,26.692857115206,2018
KD,2017,scb_2017M05_original,50.000000000000,195.313748505919,-295.669631399574,26.692857115206,2018
KD,2017,scb_2017M05_original,100.000000000000,195.313748505919,-296.390005858947,26.692857115206,2018
L,2015,scb_2015M11_original,0.000000000000,319.320194666667,-701.618179761386,239.260734058372,2018
L,2015,scb_2015M11_original,2.000000000000,319.320194666667,-488.003147898310,16.009105417238,2018
L,2015,scb_2015M11_original,5.000000000000,319.320194666667,-482.379333066624,16.009105417238,2018
L,2015,scb_2015M11_original,10.000000000000,319.320194666667,-478.688264724589,16.009105417238,2018
L,2015,scb_2015M11_original,20.000000000000,319.320194666667,-475.584846769495,16.009105417238,2018
L,2015,scb_2015M11_original,50.000000000000,319.320194666667,-472.634117524876,16.009105417238,2018
L,2015,scb_2015M11_original,100.000000000000,319.320194666667,-471.532130965188,16.009105417238,2018
L,2016,scb_2016M05_original,0.000000000000,306.042975000000,-672.445146391094,292.105283071360,2018
L,2016,scb_2016M05_original,2.000000000000,306.042975000000,-405.480813009432,26.992787818947,2018
L,2016,scb_2016M05_original,5.000000000000,306.042975000000,-400.089151953328,26.992787818947,2018
L,2016,scb_2016M05_original,10.000000000000,306.042975000000,-396.763747632051,26.992787818947,2018
L,2016,scb_2016M05_original,20.000000000000,306.042975000000,-394.336395536674,26.992787818947,2018
L,2016,scb_2016M05_original,50.000000000000,306.042975000000,-393.060644666811,26.992787818947,2018
L,2016,scb_2016M05_original,100.000000000000,306.042975000000,-393.924573687218,26.992787818947,2018
L,2016,scb_2016M11_original,0.000000000000,282.000000000000,-619.617330808814,191.674497326645,2018
L,2016,scb_2016M11_original,2.000000000000,282.000000000000,-454.757302572775,8.825363098634,2018
L,2016,scb_2016M11_original,5.000000000000,282.000000000000,-449.058578233465,8.825363098634,2018
L,2016,scb_2016M11_original,10.000000000000,282.000000000000,-445.246107636259,8.825363098634,2018
L,2016,scb_2016M11_original,20.000000000000,282.000000000000,-441.925715254800,8.825363098634,2018
L,2016,scb_2016M11_original,50.000000000000,282.000000000000,-438.460882817803,8.825363098634,2018
L,2016,scb_2016M11_original,100.000000000000,282.000000000000,-436.717114255282,8.825363098634,2018
L,2017,scb_2017M05_original,0.000000000000,278.000000000000,-610.828432499469,170.017609263336,2018
L,2017,scb_2017M05_original,2.000000000000,278.000000000000,-466.889968932264,36.016152035774,2018
L,2017,scb_2017M05_original,5.000000000000,278.000000000000,-461.359125454600,36.016152035774,2018
L,2017,scb_2017M05_original,10.000000000000,278.000000000000,-457.895701791478,36.016152035774,2018
L,2017,scb_2017M05_original,20.000000000000,278.000000000000,-455.301370046653,36.016152035774,2018
L,2017,scb_2017M05_original,50.000000000000,278.000000000000,-453.818488510281,36.016152035774,2018
L,2017,scb_2017M05_original,100.000000000000,278.000000000000,-454.748661536963,36.016152035774,2018
M,2015,scb_2015M11_original,0.000000000000,1277.443120661157,-2806.829420865772,1452.211389648178,2018
M,2015,scb_2015M11_original,2.000000000000,1277.443120661157,-1389.365298470399,162.442397354711,2018
M,2015,scb_2015M11_original,5.000000000000,1277.443120661157,-1383.350149966465,162.442397354711,2018
M,2015,scb_2015M11_original,10.000000000000,1277.443120661157,-1379.349242390568,162.442397354711,2018
M,2015,scb_2015M11_original,20.000000000000,1277.443120661157,-1376.033040624904,162.442397354711,2018
M,2015,scb_2015M11_original,50.000000000000,1277.443120661157,-1373.324739873327,162.442397354711,2018
M,2015,scb_2015M11_original,100.000000000000,1277.443120661157,-1373.423809504608,162.442397354711,2018
M,2016,scb_2016M05_original,0.000000000000,1263.594680867850,-2776.401288594157,1811.600217664478,2018
M,2016,scb_2016M05_original,2.000000000000,1263.594680867850,-997.797748385457,79.406940657986,2018
M,2016,scb_2016M05_original,5.000000000000,1263.594680867850,-991.875364805257,79.406940657986,2018
M,2016,scb_2016M05_original,10.000000000000,1263.594680867850,-987.955226884710,79.406940657986,2018
M,2016,scb_2016M05_original,20.000000000000,1263.594680867850,-984.729487634234,79.406940657986,2018
M,2016,scb_2016M05_original,50.000000000000,1263.594680867850,-982.161410294406,79.406940657986,2018
M,2016,scb_2016M05_original,100.000000000000,1263.594680867850,-982.353309248048,79.406940657986,2018
M,2016,scb_2016M11_original,0.000000000000,1273.490400000000,-2798.144405881732,1733.305357197137,2018
M,2016,scb_2016M11_original,2.000000000000,1273.490400000000,-1097.922023801609,56.734257602578,2018
M,2016,scb_2016M11_original,5.000000000000,1273.490400000000,-1091.929515970974,56.734257602578,2018
M,2016,scb_2016M11_original,10.000000000000,1273.490400000000,-1087.893598613014,56.734257602578,2018
M,2016,scb_2016M11_original,20.000000000000,1273.490400000000,-1084.440305729675,56.734257602578,2018
M,2016,scb_2016M11_original,50.000000000000,1273.490400000000,-1081.219776933703,56.734257602578,2018
M,2016,scb_2016M11_original,100.000000000000,1273.490400000000,-1080.414278610355,56.734257602578,2018
M,2017,scb_2017M05_original,0.000000000000,1267.000000000000,-2783.883539484990,1202.861134821077,2018
M,2017,scb_2017M05_original,2.000000000000,1267.000000000000,-1618.089892860327,198.253107003099,2018
M,2017,scb_2017M05_original,5.000000000000,1267.000000000000,-1612.066436193816,198.253107003099,2018
M,2017,scb_2017M05_original,10.000000000000,1267.000000000000,-1608.145950033034,198.253107003099,2018
M,2017,scb_2017M05_original,20.000000000000,1267.000000000000,-1605.090768637257,198.253107003099,2018
M,2017,scb_2017M05_original,50.000000000000,1267.000000000000,-1603.328537206192,198.253107003099,2018
M,2017,scb_2017M05_original,100.000000000000,1267.000000000000,-1605.069763735478,198.253107003099,2018
MP,2015,scb_2015M11_original,0.000000000000,398.844832525952,-876.351668569569,386.386677005554,2018
MP,2015,scb_2015M11_original,2.000000000000,398.844832525952,-514.432912790268,40.367515902052,2018
MP,2015,scb_2015M11_original,5.000000000000,398.844832525952,-509.194243567179,40.367515902052,2018
MP,2015,scb_2015M11_original,10.000000000000,398.844832525952,-506.008745681498,40.367515902052,2018
MP,2015,scb_2015M11_original,20.000000000000,398.844832525952,-503.731317204263,40.367515902052,2018
MP,2015,scb_2015M11_original,50.000000000000,398.844832525952,-502.756220615764,40.367515902052,2018
MP,2015,scb_2015M11_original,100.000000000000,398.844832525952,-504.214465561028,40.367515902052,2018
MP,2016,scb_2016M05_original,0.000000000000,397.000000000000,-872.298157202479,233.357028138189,2018
MP,2016,scb_2016M05_original,2.000000000000,397.000000000000,-665.822372521912,17.536156276694,2018
MP,2016,scb_2016M05_original,5.000000000000,397.000000000000,-660.234013136524,17.536156276694,2018
MP,2016,scb_2016M05_original,10.000000000000,397.000000000000,-656.584835019809,17.536156276694,2018
MP,2016,scb_2016M05_original,20.000000000000,397.000000000000,-653.523172701715,17.536156276694,2018
MP,2016,scb_2016M05_original,50.000000000000,397.000000000000,-650.593386607432,17.536156276694,2018
MP,2016,scb_2016M05_original,100.000000000000,397.000000000000,-649.484024170732,17.536156276694,2018
MP,2016,scb_2016M11_original,0.000000000000,408.640003160494,-897.873858226987,195.568488808408,2018
MP,2016,scb_2016M11_original,2.000000000000,408.640003160494,-730.133580161309,42.131619274448,2018
MP,2016,scb_2016M11_original,5.000000000000,408.640003160494,-724.606783330667,42.131619274448,2018
MP,2016,scb_2016M11_original,10.000000000000,408.640003160494,-721.059826438102,42.131619274448,2018
MP,2016,scb_2016M11_original,20.000000000000,408.640003160494,-718.201052485571,42.131619274448,2018
MP,2016,scb_2016M11_original,50.000000000000,408.640003160494,-715.865759134487,42.131619274448,2018
MP,2016,scb_2016M11_original,100.000000000000,408.640003160494,-715.693875697652,42.131619274448,2018
MP,2017,scb_2017M05_original,0.000000000000,375.000000000000,-823.959216501082,192.889793127515,2018
MP,2017,scb_2017M05_original,2.000000000000,375.000000000000,-657.935606425896,30.960467785855,2018
MP,2017,scb_2017M05_original,5.000000000000,375.000000000000,-652.452644507959,30.960467785855,2018
MP,2017,scb_2017M05_original,10.000000000000,375.000000000000,-648.963620979583,30.960467785855,2018
MP,2017,scb_2017M05_original,20.000000000000,375.000000000000,-646.193840656746,30.960467785855,2018
MP,2017,scb_2017M05_original,50.000000000000,375.000000000000,-644.041210219830,30.960467785855,2018
MP,2017,scb_2017M05_original,100.000000000000,375.000000000000,-644.025255323505,30.960467785855,2018
OTHER,2015,scb_2015M11_original,0.000000000000,157.870397662527,-346.876717777947,72.883017053681,2018
OTHER,2015,scb_2015M11_original,2.000000000000,157.870397662527,-298.542345722544,21.536196215621,2018
OTHER,2015,scb_2015M11_original,5.000000000000,157.870397662527,-293.114143427744,21.536196215621,2018
OTHER,2015,scb_2015M11_original,10.000000000000,157.870397662527,-289.734803161347,21.536196215621,2018
OTHER,2015,scb_2015M11_original,20.000000000000,157.870397662527,-287.203918053458,21.536196215621,2018
OTHER,2015,scb_2015M11_original,50.000000000000,157.870397662527,-285.596641588265,21.536196215621,2018
OTHER,2015,scb_2015M11_original,100.000000000000,157.870397662527,-285.932116577714,21.536196215621,2018
OTHER,2016,scb_2016M05_original,0.000000000000,149.000000000000,-327.386462023097,99.495870572000,2018
OTHER,2016,scb_2016M05_original,2.000000000000,149.000000000000,-250.035609673339,6.493355937918,2018
OTHER,2016,scb_2016M05_original,5.000000000000,149.000000000000,-244.582581485364,6.493355937918,2018
OTHER,2016,scb_2016M05_original,10.000000000000,149.000000000000,-241.076183501789,6.493355937918,2018
OTHER,2016,scb_2016M05_original,20.000000000000,149.000000000000,-238.214585808742,6.493355937918,2018
OTHER,2016,scb_2016M05_original,50.000000000000,149.000000000000,-235.605690974854,6.493355937918,2018
