transition_id,model,party,weighted_mae,weighted_observations
2018_2022,T1_suppressed_historical_point,SD,0.042732421185,4201935
2018_2022,T1_suppressed_historical_point,V,0.018725299415,4201935
2018_2022,T1_suppressed_zero_point,C,0.009819028879,4201935
2018_2022,T1_suppressed_zero_point,KD,0.011920760674,4201935
2018_2022,T1_suppressed_zero_point,L,0.013140314902,4201935
2018_2022,T1_suppressed_zero_point,M,0.026776996866,4201935
2018_2022,T1_suppressed_zero_point,MP,0.018370241153,4201935
2018_2022,T1_suppressed_zero_point,OTHER,0.009684975745,4201935
2018_2022,T1_suppressed_zero_point,S,0.031475449700,4201935
2018_2022,T1_suppressed_zero_point,SD,0.042363639173,4201935
2018_2022,T1_suppressed_zero_point,V,0.017938477538,4201935
